date,hour,economic_dr_bid_count,peak_dr_bid_count,dust_dr_bid_count,economic_dr_award_count,peak_dr_award_count,dust_dr_award_count
2020-01-01,1,0,0,0,0,0,0
2020-01-01,2,0,0,0,0,0,0
2020-01-01,3,0,0,0,0,0,0
2020-01-01,4,0,0,0,0,0,0
2020-01-01,5,0,0,0,0,0,0
2020-01-01,6,0,0,0,0,0,0
2020-01-01,7,0,0,0,0,0,0
2020-01-01,8,0,0,0,0,0,0
2020-01-01,9,0,0,0,0,0,0
2020-01-01,10,0,0,0,0,0,0
2020-01-01,11,0,0,0,0,0,0
2020-01-01,12,0,0,0,0,0,0
2020-01-01,13,0,0,0,0,0,0
2020-01-01,14,0,0,0,0,0,0
2020-01-01,15,0,0,0,0,0,0
2020-01-01,16,0,0,0,0,0,0
2020-01-01,17,0,0,0,0,0,0
2020-01-01,18,0,0,0,0,0,0
2020-01-01,19,0,0,0,0,0,0
2020-01-01,20,0,0,0,0,0,0
2020-01-01,21,0,0,0,0,0,0
2020-01-01,22,0,0,0,0,0,0
2020-01-01,23,0,0,0,0,0,0
2020-01-01,24,0,0,0,0,0,0
2020-01-02,1,13,0,0,0,0,0
2020-01-02,2,13,0,0,7,0,0
2020-01-02,3,14,0,0,0,0,0
2020-01-02,4,9,0,0,0,0,0
2020-01-02,5,13,0,0,3,0,0
2020-01-02,6,14,0,0,0,0,0
2020-01-02,7,14,6,0,5,0,0
2020-01-02,8,12,3,0,7,0,0
2020-01-02,9,13,1,0,13,0,0
2020-01-02,10,15,1,0,15,0,0
2020-01-02,11,16,2,0,12,0,0
2020-01-02,12,16,7,0,0,0,0
2020-01-02,13,6,0,0,0,0,0
2020-01-02,14,14,2,0,12,0,0
2020-01-02,15,14,1,0,14,0,0
2020-01-02,16,14,3,0,10,0,0
2020-01-02,17,13,1,0,13,0,0
2020-01-02,18,11,1,0,11,0,0
2020-01-02,19,11,1,0,11,0,0
2020-01-02,20,10,1,0,10,0,0
2020-01-02,21,9,1,0,9,0,0
2020-01-02,22,9,0,0,0,0,0
2020-01-02,23,9,0,0,0,0,0
2020-01-02,24,8,0,0,8,0,0
2020-01-03,1,8,0,0,0,0,0
2020-01-03,2,8,0,0,0,0,0
2020-01-03,3,8,0,0,8,0,0
2020-01-03,4,7,0,0,0,0,0
2020-01-03,5,7,0,0,0,0,0
2020-01-03,6,9,0,0,1,0,0
2020-01-03,7,9,8,0,0,0,0
2020-01-03,8,11,10,0,0,0,0
2020-01-03,9,13,2,0,13,0,0
2020-01-03,10,15,3,0,15,0,0
2020-01-03,11,15,12,0,0,0,0
2020-01-03,12,16,12,0,0,0,0
2020-01-03,13,9,0,0,0,0,0
2020-01-03,14,18,2,0,18,0,0
2020-01-03,15,18,2,0,18,0,0
2020-01-03,16,16,2,0,16,0,0
2020-01-03,17,15,2,0,15,0,0
2020-01-03,18,16,2,0,16,0,0
2020-01-03,19,15,3,0,15,0,0
2020-01-03,20,14,4,0,12,0,0
2020-01-03,21,13,4,0,5,0,0
2020-01-03,22,12,0,0,0,0,0
2020-01-03,23,12,0,0,0,0,0
2020-01-03,24,8,0,0,8,0,0
2020-01-04,1,0,0,0,0,0,0
2020-01-04,2,0,0,0,0,0,0
2020-01-04,3,0,0,0,0,0,0
2020-01-04,4,0,0,0,0,0,0
2020-01-04,5,0,0,0,0,0,0
2020-01-04,6,0,0,0,0,0,0
2020-01-04,7,0,0,0,0,0,0
2020-01-04,8,0,0,0,0,0,0
2020-01-04,9,0,0,0,0,0,0
2020-01-04,10,0,0,0,0,0,0
2020-01-04,11,0,0,0,0,0,0
2020-01-04,12,0,0,0,0,0,0
2020-01-04,13,0,0,0,0,0,0
2020-01-04,14,0,0,0,0,0,0
2020-01-04,15,0,0,0,0,0,0
2020-01-04,16,0,0,0,0,0,0
2020-01-04,17,0,0,0,0,0,0
2020-01-04,18,0,0,0,0,0,0
2020-01-04,19,0,0,0,0,0,0
2020-01-04,20,0,0,0,0,0,0
2020-01-04,21,0,0,0,0,0,0
2020-01-04,22,0,0,0,0,0,0
2020-01-04,23,0,0,0,0,0,0
2020-01-04,24,0,0,0,0,0,0
2020-01-05,1,0,0,0,0,0,0
2020-01-05,2,0,0,0,0,0,0
2020-01-05,3,0,0,0,0,0,0
2020-01-05,4,0,0,0,0,0,0
2020-01-05,5,0,0,0,0,0,0
2020-01-05,6,0,0,0,0,0,0
2020-01-05,7,0,0,0,0,0,0
2020-01-05,8,0,0,0,0,0,0
2020-01-05,9,0,0,0,0,0,0
2020-01-05,10,0,0,0,0,0,0
2020-01-05,11,0,0,0,0,0,0
2020-01-05,12,0,0,0,0,0,0
2020-01-05,13,0,0,0,0,0,0
2020-01-05,14,0,0,0,0,0,0
2020-01-05,15,0,0,0,0,0,0
2020-01-05,16,0,0,0,0,0,0
2020-01-05,17,0,0,0,0,0,0
2020-01-05,18,0,0,0,0,0,0
2020-01-05,19,0,0,0,0,0,0
2020-01-05,20,0,0,0,0,0,0
2020-01-05,21,0,0,0,0,0,0
2020-01-05,22,0,0,0,0,0,0
2020-01-05,23,0,0,0,0,0,0
2020-01-05,24,0,0,0,0,0,0
2020-01-06,1,7,0,0,0,0,0
2020-01-06,2,7,0,0,0,0,0
2020-01-06,3,6,0,0,0,0,0
2020-01-06,4,6,0,0,0,0,0
2020-01-06,5,6,0,0,0,0,0
2020-01-06,6,5,0,0,0,0,0
2020-01-06,7,5,4,0,0,0,0
2020-01-06,8,7,4,0,0,0,0
2020-01-06,9,7,1,0,7,0,0
2020-01-06,10,8,1,0,8,0,0
2020-01-06,11,9,4,0,0,0,0
2020-01-06,12,9,4,0,0,0,0
2020-01-06,13,3,0,0,0,0,0
2020-01-06,14,11,1,0,8,0,0
2020-01-06,15,11,1,0,11,0,0
2020-01-06,16,10,2,0,7,0,0
2020-01-06,17,11,1,0,11,0,0
2020-01-06,18,9,1,0,9,0,0
2020-01-06,19,9,1,0,9,0,0
2020-01-06,20,8,1,0,8,0,0
2020-01-06,21,7,2,0,2,0,0
2020-01-06,22,6,0,0,6,0,0
2020-01-06,23,7,0,0,0,0,0
2020-01-06,24,5,0,0,5,0,0
2020-01-07,1,4,0,0,2,0,0
2020-01-07,2,4,0,0,2,0,0
2020-01-07,3,4,0,0,0,0,0
2020-01-07,4,4,0,0,0,0,0
2020-01-07,5,4,0,0,0,0,0
2020-01-07,6,4,0,0,0,0,0
2020-01-07,7,4,2,0,2,0,0
2020-01-07,8,5,4,0,0,0,0
2020-01-07,9,5,0,0,5,0,0
2020-01-07,10,8,0,0,8,0,0
2020-01-07,11,9,1,0,6,0,0
2020-01-07,12,7,3,0,1,0,0
2020-01-07,13,2,0,0,0,0,0
2020-01-07,14,9,1,0,5,0,0
2020-01-07,15,8,1,0,5,0,0
2020-01-07,16,5,1,0,3,0,0
2020-01-07,17,5,0,0,5,0,0
2020-01-07,18,5,0,0,5,0,0
2020-01-07,19,6,0,0,6,0,0
2020-01-07,20,6,1,0,5,0,0
2020-01-07,21,5,2,0,0,0,0
2020-01-07,22,4,0,0,0,0,0
2020-01-07,23,3,0,0,0,0,0
2020-01-07,24,3,0,0,3,0,0
2020-01-08,1,3,0,0,3,0,0
2020-01-08,2,3,0,0,1,0,0
2020-01-08,3,3,0,0,0,0,0
2020-01-08,4,3,0,0,0,0,0
2020-01-08,5,3,0,0,0,0,0
2020-01-08,6,3,0,0,2,0,0
2020-01-08,7,3,3,0,2,0,0
2020-01-08,8,4,2,0,3,0,0
2020-01-08,9,5,2,0,5,0,0
2020-01-08,10,6,2,0,6,0,0
2020-01-08,11,7,6,0,0,0,0
2020-01-08,12,7,3,0,5,0,0
2020-01-08,13,5,0,0,0,0,0
2020-01-08,14,11,2,0,11,0,0
2020-01-08,15,11,2,0,11,0,0
2020-01-08,16,11,2,0,11,0,0
2020-01-08,17,11,2,0,11,0,0
2020-01-08,18,9,2,0,9,0,0
2020-01-08,19,9,2,0,9,0,0
2020-01-08,20,10,2,0,10,0,0
2020-01-08,21,6,2,0,6,0,0
2020-01-08,22,5,0,0,0,0,0
2020-01-08,23,3,0,0,0,0,0
2020-01-08,24,4,0,0,4,0,0
2020-01-09,1,5,0,0,1,0,0
2020-01-09,2,5,0,0,1,0,0
2020-01-09,3,5,0,0,0,0,0
2020-01-09,4,5,0,0,0,0,0
2020-01-09,5,5,0,0,0,0,0
2020-01-09,6,4,0,0,0,0,0
2020-01-09,7,4,2,0,0,0,0
2020-01-09,8,5,2,0,0,0,0
2020-01-09,9,5,0,0,5,0,0
2020-01-09,10,5,0,0,5,0,0
2020-01-09,11,5,0,0,5,0,0
2020-01-09,12,8,0,0,8,0,0
2020-01-09,13,5,0,0,0,0,0
2020-01-09,14,11,0,0,11,0,0
2020-01-09,15,11,0,0,11,0,0
2020-01-09,16,11,0,0,11,0,0
2020-01-09,17,10,0,0,10,0,0
2020-01-09,18,9,0,0,9,0,0
2020-01-09,19,8,0,0,8,0,0
2020-01-09,20,7,1,0,2,0,0
2020-01-09,21,7,1,0,3,0,0
2020-01-09,22,6,0,0,0,0,0
2020-01-09,23,6,0,0,0,0,0
2020-01-09,24,5,0,0,5,0,0
2020-01-10,1,4,0,0,0,0,0
2020-01-10,2,4,0,0,4,0,0
2020-01-10,3,4,0,0,0,0,0
2020-01-10,4,4,0,0,0,0,0
2020-01-10,5,4,0,0,0,0,0
2020-01-10,6,6,0,0,0,0,0
2020-01-10,7,6,3,0,0,0,0
2020-01-10,8,4,0,0,3,0,0
2020-01-10,9,6,0,0,6,0,0
2020-01-10,10,5,0,0,5,0,0
2020-01-10,11,7,0,0,7,0,0
2020-01-10,12,8,0,0,8,0,0
2020-01-10,13,5,0,0,0,0,0
2020-01-10,14,11,0,0,11,0,0
2020-01-10,15,11,0,0,11,0,0
2020-01-10,16,10,0,0,10,0,0
2020-01-10,17,9,0,0,9,0,0
2020-01-10,18,9,0,0,9,0,0
2020-01-10,19,8,0,0,7,0,0
2020-01-10,20,7,1,0,5,0,0
2020-01-10,21,6,1,0,2,0,0
2020-01-10,22,5,0,0,0,0,0
2020-01-10,23,3,0,0,0,0,0
2020-01-10,24,4,0,0,4,0,0
2020-01-11,1,0,0,0,0,0,0
2020-01-11,2,0,0,0,0,0,0
2020-01-11,3,0,0,0,0,0,0
2020-01-11,4,0,0,0,0,0,0
2020-01-11,5,0,0,0,0,0,0
2020-01-11,6,0,0,0,0,0,0
2020-01-11,7,0,0,0,0,0,0
2020-01-11,8,0,0,0,0,0,0
2020-01-11,9,0,0,0,0,0,0
2020-01-11,10,0,0,0,0,0,0
2020-01-11,11,0,0,0,0,0,0
2020-01-11,12,0,0,0,0,0,0
2020-01-11,13,0,0,0,0,0,0
2020-01-11,14,0,0,0,0,0,0
2020-01-11,15,0,0,0,0,0,0
2020-01-11,16,0,0,0,0,0,0
2020-01-11,17,0,0,0,0,0,0
2020-01-11,18,0,0,0,0,0,0
2020-01-11,19,0,0,0,0,0,0
2020-01-11,20,0,0,0,0,0,0
2020-01-11,21,0,0,0,0,0,0
2020-01-11,22,0,0,0,0,0,0
2020-01-11,23,0,0,0,0,0,0
2020-01-11,24,0,0,0,0,0,0
2020-01-12,1,0,0,0,0,0,0
2020-01-12,2,0,0,0,0,0,0
2020-01-12,3,0,0,0,0,0,0
2020-01-12,4,0,0,0,0,0,0
2020-01-12,5,0,0,0,0,0,0
2020-01-12,6,0,0,0,0,0,0
2020-01-12,7,0,0,0,0,0,0
2020-01-12,8,0,0,0,0,0,0
2020-01-12,9,0,0,0,0,0,0
2020-01-12,10,0,0,0,0,0,0
2020-01-12,11,0,0,0,0,0,0
2020-01-12,12,0,0,0,0,0,0
2020-01-12,13,0,0,0,0,0,0
2020-01-12,14,0,0,0,0,0,0
2020-01-12,15,0,0,0,0,0,0
2020-01-12,16,0,0,0,0,0,0
2020-01-12,17,0,0,0,0,0,0
2020-01-12,18,0,0,0,0,0,0
2020-01-12,19,0,0,0,0,0,0
2020-01-12,20,0,0,0,0,0,0
2020-01-12,21,0,0,0,0,0,0
2020-01-12,22,0,0,0,0,0,0
2020-01-12,23,0,0,0,0,0,0
2020-01-12,24,0,0,0,0,0,0
2020-01-13,1,16,0,0,0,0,0
2020-01-13,2,16,0,0,3,0,0
2020-01-13,3,15,0,0,0,0,0
2020-01-13,4,12,0,0,0,0,0
2020-01-13,5,14,0,0,0,0,0
2020-01-13,6,13,0,0,0,0,0
2020-01-13,7,12,7,0,0,0,0
2020-01-13,8,13,7,0,0,0,0
2020-01-13,9,11,0,0,11,0,0
2020-01-13,10,12,0,0,12,0,0
2020-01-13,11,10,0,0,10,0,0
2020-01-13,12,9,0,0,9,0,0
2020-01-13,13,5,0,0,0,0,0
2020-01-13,14,11,0,0,11,0,0
2020-01-13,15,11,0,0,11,0,0
2020-01-13,16,11,0,0,11,0,0
2020-01-13,17,10,0,0,10,0,0
2020-01-13,18,9,0,0,9,0,0
2020-01-13,19,8,0,0,8,0,0
2020-01-13,20,8,0,0,8,0,0
2020-01-13,21,7,1,0,5,0,0
2020-01-13,22,6,0,0,0,0,0
2020-01-13,23,6,0,0,0,0,0
2020-01-13,24,6,0,0,6,0,0
2020-01-14,1,8,0,0,8,0,0
2020-01-14,2,8,0,0,1,0,0
2020-01-14,3,8,0,0,0,0,0
2020-01-14,4,8,0,0,0,0,0
2020-01-14,5,8,0,0,0,0,0
2020-01-14,6,8,0,0,0,0,0
2020-01-14,7,8,2,0,0,0,0
2020-01-14,8,8,0,0,8,0,0
2020-01-14,9,7,1,0,7,0,0
2020-01-14,10,8,1,0,8,0,0
2020-01-14,11,9,2,0,4,0,0
2020-01-14,12,9,1,0,9,0,0
2020-01-14,13,4,0,0,0,0,0
2020-01-14,14,10,1,0,10,0,0
2020-01-14,15,10,1,0,10,0,0
2020-01-14,16,10,1,0,10,0,0
2020-01-14,17,11,1,0,11,0,0
2020-01-14,18,9,1,0,9,0,0
2020-01-14,19,7,1,0,7,0,0
2020-01-14,20,7,0,0,5,0,0
2020-01-14,21,7,0,0,5,0,0
2020-01-14,22,6,0,0,6,0,0
2020-01-14,23,6,0,0,0,0,0
2020-01-14,24,5,0,0,5,0,0
2020-01-15,1,5,0,0,3,0,0
2020-01-15,2,5,0,0,5,0,0
2020-01-15,3,5,0,0,0,0,0
2020-01-15,4,5,0,0,0,0,0
2020-01-15,5,5,0,0,0,0,0
2020-01-15,6,5,0,0,0,0,0
2020-01-15,7,5,0,0,5,0,0
2020-01-15,8,5,0,0,5,0,0
2020-01-15,9,6,0,0,6,0,0
2020-01-15,10,9,0,0,9,0,0
2020-01-15,11,9,0,0,9,0,0
2020-01-15,12,9,0,0,9,0,0
2020-01-15,13,4,0,0,0,0,0
2020-01-15,14,10,0,0,10,0,0
2020-01-15,15,11,0,0,11,0,0
2020-01-15,16,11,0,0,11,0,0
2020-01-15,17,13,0,0,13,0,0
2020-01-15,18,10,0,0,10,0,0
2020-01-15,19,8,0,0,8,0,0
2020-01-15,20,8,0,0,8,0,0
2020-01-15,21,5,0,0,5,0,0
2020-01-15,22,5,0,0,5,0,0
2020-01-15,23,5,0,0,0,0,0
2020-01-15,24,5,0,0,5,0,0
2020-01-16,1,4,0,0,4,0,0
2020-01-16,2,4,0,0,1,0,0
2020-01-16,3,4,0,0,4,0,0
2020-01-16,4,4,0,0,0,0,0
2020-01-16,5,4,0,0,0,0,0
2020-01-16,6,3,0,0,0,0,0
2020-01-16,7,3,0,0,3,0,0
2020-01-16,8,5,0,0,5,0,0
2020-01-16,9,7,0,0,7,0,0
2020-01-16,10,10,0,0,10,0,0
2020-01-16,11,13,0,0,13,0,0
2020-01-16,12,13,0,0,13,0,0
2020-01-16,13,6,0,0,0,0,0
2020-01-16,14,12,0,0,12,0,0
2020-01-16,15,12,0,0,12,0,0
2020-01-16,16,11,0,0,11,0,0
2020-01-16,17,11,0,0,11,0,0
2020-01-16,18,7,0,0,7,0,0
2020-01-16,19,8,0,0,8,0,0
2020-01-16,20,7,0,0,7,0,0
2020-01-16,21,7,0,0,4,0,0
2020-01-16,22,5,0,0,1,0,0
2020-01-16,23,7,0,0,0,0,0
2020-01-16,24,6,0,0,6,0,0
2020-01-17,1,4,0,0,0,0,0
2020-01-17,2,4,0,0,0,0,0
2020-01-17,3,3,0,0,0,0,0
2020-01-17,4,2,0,0,0,0,0
2020-01-17,5,2,0,0,0,0,0
2020-01-17,6,5,0,0,0,0,0
2020-01-17,7,6,3,0,0,0,0
2020-01-17,8,6,0,0,6,0,0
2020-01-17,9,7,0,0,7,0,0
2020-01-17,10,11,0,0,11,0,0
2020-01-17,11,12,0,0,12,0,0
2020-01-17,12,12,0,0,12,0,0
2020-01-17,13,6,0,0,0,0,0
2020-01-17,14,11,0,0,11,0,0
2020-01-17,15,12,0,0,12,0,0
2020-01-17,16,12,0,0,12,0,0
2020-01-17,17,12,0,0,12,0,0
2020-01-17,18,10,0,0,10,0,0
2020-01-17,19,9,0,0,9,0,0
2020-01-17,20,10,0,0,10,0,0
2020-01-17,21,8,0,0,8,0,0
2020-01-17,22,7,0,0,7,0,0
2020-01-17,23,8,0,0,0,0,0
2020-01-17,24,8,0,0,8,0,0
2020-01-18,1,0,0,0,0,0,0
2020-01-18,2,0,0,0,0,0,0
2020-01-18,3,0,0,0,0,0,0
2020-01-18,4,0,0,0,0,0,0
2020-01-18,5,0,0,0,0,0,0
2020-01-18,6,0,0,0,0,0,0
2020-01-18,7,0,0,0,0,0,0
2020-01-18,8,0,0,0,0,0,0
2020-01-18,9,0,0,0,0,0,0
2020-01-18,10,0,0,0,0,0,0
2020-01-18,11,0,0,0,0,0,0
2020-01-18,12,0,0,0,0,0,0
2020-01-18,13,0,0,0,0,0,0
2020-01-18,14,0,0,0,0,0,0
2020-01-18,15,0,0,0,0,0,0
2020-01-18,16,0,0,0,0,0,0
2020-01-18,17,0,0,0,0,0,0
2020-01-18,18,0,0,0,0,0,0
2020-01-18,19,0,0,0,0,0,0
2020-01-18,20,0,0,0,0,0,0
2020-01-18,21,0,0,0,0,0,0
2020-01-18,22,0,0,0,0,0,0
2020-01-18,23,0,0,0,0,0,0
2020-01-18,24,0,0,0,0,0,0
2020-01-19,1,0,0,0,0,0,0
2020-01-19,2,0,0,0,0,0,0
2020-01-19,3,0,0,0,0,0,0
2020-01-19,4,0,0,0,0,0,0
2020-01-19,5,0,0,0,0,0,0
2020-01-19,6,0,0,0,0,0,0
2020-01-19,7,0,0,0,0,0,0
2020-01-19,8,0,0,0,0,0,0
2020-01-19,9,0,0,0,0,0,0
2020-01-19,10,0,0,0,0,0,0
2020-01-19,11,0,0,0,0,0,0
2020-01-19,12,0,0,0,0,0,0
2020-01-19,13,0,0,0,0,0,0
2020-01-19,14,0,0,0,0,0,0
2020-01-19,15,0,0,0,0,0,0
2020-01-19,16,0,0,0,0,0,0
2020-01-19,17,0,0,0,0,0,0
2020-01-19,18,0,0,0,0,0,0
2020-01-19,19,0,0,0,0,0,0
2020-01-19,20,0,0,0,0,0,0
2020-01-19,21,0,0,0,0,0,0
2020-01-19,22,0,0,0,0,0,0
