service_id,api_category,api_service_name,api_service_short_name,description
1,10,고객정보,고객정보,요청고객의 고객기본사항
2,10,"고객번호, 계기번호","고객번호, 계기번호","고객번호, 계기번호 조회"
3,10,청구정보,청구정보,요청고객의 전기요금 청구정보
4,10,고객번호,고객번호,고객번호 목록
5,10,15분단위 전력소비 데이터,15분단위 전력소비 데이터,요청고객의 요청일자시분에 대한 15분단위 1개 데이터
6,10,일단위 전력소비 데이터,일단위 전력소비 데이터,요청고객의 요청일자에 대한 15분단위 하루치 96개 데이터
7,10,특정고객의 특정시간 전력소비 데이터,특정고객의 특정시간 전력소비 데이터,고객의 요청기간에 대한 전력소비 데이터(최대 조회기간3 개월)
8,10,전체고객의 전력소비 데이터,전체고객의 전력소비 데이터,전체고객의 요청일시 96개 데이터
9,20,일단위 전력소비 데이터(DR),일단위 전력소비 데이터(DR),요청고객의 요청일자에 대한 15분단위 하루치 96개 데이터
10,20,15분단위 전력소비 데이터(DR),15분단위 전력소비 데이터(DR),요청고객의 요청일자시분에 대한 15분단위 1개 데이터
11,30,KPX 업종별 전력소비 통계 데이터,KPX 업종별 전력소비 통계 데이터,KPX 업종별 전력소비 통계 데이터
12,30,KPX 계약종별 전력소비 통계 데이터,KPX 계약종별 전력소비 통계 데이터,KPX 계약종별 전력소비 통계 데이터
13,10,고객 가입여부 확인,고객 가입여부 확인,고객 가입여부 확인
281,10,고객 기본정보2,고객 기본정보2,요청고객의 고객기본사항
341,10,PPA 발전사업자 기본정보,PPA 발전사업자 기본정보,한전과 계약한 PPA 발전사업자의 기본정보 제공
361,10,PPA 발전대금 계산정보(SMP),PPA 발전대금 계산정보(SMP),PPA 전력구입관련 대금계산 정보(SMP 단가)
381,10,PPA 15분단위 발전량 정보,PPA 15분단위 발전량 정보,PPA 발전사업자 15분 단위 발전량 데이터 제공(LP 역방향 데이터)
382,10,PPA 정기검침 정보,PPA 정기검침 정보,PPA 전력구입 검침정보
401,30,KPX 15분 단위 전력소비 데이터,KPX 15분 단위 전력소비 데이터,KPX 15분 단위 전력소비 데이터
421,30,KPX 전기사용자 고객정보,KPX 전기사용자 고객정보,KPX 전기사용자 고객정보
501,50,15분단위 저압 전력소비 데이터(DR),15분단위 저압 전력소비 데이터(DR),요청고객의 요청일자시분에 대한 15분단위 1개 데이터
521,30,KPX DR사업자정산용 일단위 전력소비데이터,KPX DR사업자정산용 일단위 전력소비데이터,DR사업자용(DR사업자 정산요청을할때 검증용 데이터로 활용)
541,30,직접PPA 고객정보,직접PPA 고객정보,직접PPA 시스템 가입고객 정보 조회(KPX)
