title,url,date,body_text,archive_html,body_length
새글 육지 출력제어 실적 안내[2026년 3월 19일(목)],https://www.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=77148&tag=&nPage=1,2026-03-19,"육지 출력제어 실적 안내[2026년 3월 19일(목)] 작성일 2026/04/10 13:40 작성자 경부하기운영자 조회수 108 봄철 경부하기 낮은 전력수요와 높은 신재생발전량으로 인한 육지 전력계통(제주도 제외) 불안정이 발생 될 것으로 전망되어 전기사업법 제27조의2, 동 법 제45조, 분산에너지 활성화 특별법 제16조, 전력계통 신뢰도 및 전기품질 유지기준 제17조에 따른 비중앙급전발전기 출력제어 조치를 시행하고 실적을 공지합니다. ㅇ 시행일 : 2026년 3월 19일(목), 11시~16시 ㅇ 수급실적 : 최대수요 72,028㎿(20시), 최소수요 52,299㎿(13시) ㅇ 제어사유 : 전력망제약",data/raw/kpx_notice_archives/https%3A%2F%2Fwww.kpx.or.kr%2Fboard.es%3Fmid%3Da10109050000%26bid%3D0216%26act%3Dview%26list_no%3D77148%26tag%3D%26nPage%3D1.html,340
새글 육지 출력제어 전망[2026년 4월 11일(토)],https://www.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=77151&tag=&nPage=1,2026-04-11,"육지 출력제어 전망[2026년 4월 11일(토)] 작성일 2026/04/10 17:31 작성자 경부하기운영자 조회수 103 높은 태양광발전 이용률과 발전량 등으로 인한 육지 전력계통(제주도 제외) 불안정이 발생될 것으로 전망되어 전기사업법 제27조의2, 동 법 제45조, 분산에너지 활성화 특별법 제16조, 전력계통 신뢰도 및 전기품질 유지기준 제17조에 따른 비중앙급전발전기 출력제어 조치 시행을 예고합니다. 출력제어 미이행시, 전기사업법(이하 법) 제21조, 전력시장운영규칙 제5.3.5조 등의 위반에 해당하여 과징금 또는 자율제재금 부과 및 기타 엄중한 처벌을 받을 수 있으므로 유의하시기 바랍니다. o 예정일 : 2026년 4월 11일(토), 11시~15시 o 수급전망 : 주간최소수요 38,900MW(13시) o 제한사유 : 전력망 제약, 수급불안정 o 금회 출력제한 대상 개별 발전소는 전일 22시까지 사전고지 예정입니다. ※ 기상변동 및 전력수요 변동에 따라 상기 전망은 변동될 수 있습니다.",data/raw/kpx_notice_archives/https%3A%2F%2Fwww.kpx.or.kr%2Fboard.es%3Fmid%3Da10109050000%26bid%3D0216%26act%3Dview%26list_no%3D77151%26tag%3D%26nPage%3D1.html,506
새글 육지 출력제어 전망[2026년 4월 12일(일)],https://www.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=77152&tag=&nPage=1,2026-04-12,"육지 출력제어 전망[2026년 4월 12일(일)] 작성일 2026/04/10 17:32 작성자 경부하기운영자 조회수 180 높은 태양광발전 이용률과 발전량 등으로 인한 육지 전력계통(제주도 제외) 불안정이 발생될 것으로 전망되어 전기사업법 제27조의2, 동 법 제45조, 분산에너지 활성화 특별법 제16조, 전력계통 신뢰도 및 전기품질 유지기준 제17조에 따른 비중앙급전발전기 출력제어 조치 시행을 예고합니다. 출력제어 미이행시, 전기사업법(이하 법) 제21조, 전력시장운영규칙 제5.3.5조 등의 위반에 해당하여 과징금 또는 자율제재금 부과 및 기타 엄중한 처벌을 받을 수 있으므로 유의하시기 바랍니다. o 예정일 : 2026년 4월 12일(일), 10시~15시 o 수급전망 : 주간최소수요 35,700MW(13시) o 제한사유 : 전력망 제약, 수급불안정 o 금회 출력제한 대상 개별 발전소는 전일 22시까지 사전고지 예정입니다. ※ 기상변동 및 전력수요 변동에 따라 상기 전망은 변동될 수 있습니다.",data/raw/kpx_notice_archives/https%3A%2F%2Fwww.kpx.or.kr%2Fboard.es%3Fmid%3Da10109050000%26bid%3D0216%26act%3Dview%26list_no%3D77152%26tag%3D%26nPage%3D1.html,506
육지 출력제어 10월 실적 안내,https://www.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=73795&tag=&nPage=20,2024-11-14,"육지 출력제어 10월 실적 안내 작성일 2024/11/14 14:09 작성자 경부하기운영자 조회수 1,534 (육지) 2024년 10월 출력제어율 : 0.0214% * 상기 출력제어율은 전월 계량기 현장자료 취득량 등을 바탕으로 추정한 잠정값입니다.",data/raw/kpx_notice_archives/https%3A%2F%2Fwww.kpx.or.kr%2Fboard.es%3Fmid%3Da10109050000%26bid%3D0216%26act%3Dview%26list_no%3D73795%26tag%3D%26nPage%3D20.html,139
육지 출력제어 11월 실적 안내,https://www.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=73932&tag=&nPage=19,2024-12-12,"육지 출력제어 11월 실적 안내 작성일 2024/12/12 09:28 작성자 경부하기운영자 조회수 1,481 (육지) 2024년 11월 출력제어율 : 0.0381% * 상기 출력제어율은 전월 계량기 현장자료 취득량 등을 바탕으로 추정한 잠정값입니다.",data/raw/kpx_notice_archives/https%3A%2F%2Fwww.kpx.or.kr%2Fboard.es%3Fmid%3Da10109050000%26bid%3D0216%26act%3Dview%26list_no%3D73932%26tag%3D%26nPage%3D19.html,139
육지 출력제어 12월 실적 안내,https://www.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=74144&tag=&nPage=19,2025-01-15,"육지 출력제어 12월 실적 안내 작성일 2025/01/15 19:11 작성자 경부하기운영자 조회수 1,817 (육지) 2024년 12월 출력제어율 : 0.0013% * 상기 출력제어율은 전월 계량기 현장자료 취득량 등을 바탕으로 추정한 잠정값입니다.",data/raw/kpx_notice_archives/https%3A%2F%2Fwww.kpx.or.kr%2Fboard.es%3Fmid%3Da10109050000%26bid%3D0216%26act%3Dview%26list_no%3D74144%26tag%3D%26nPage%3D19.html,139
육지 출력제어 2025년 2월 실적 안내,https://www.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=75549&tag=&nPage=8,2025-07-16,육지 출력제어 2025년 2월 실적 안내 작성일 2025/07/16 16:39 작성자 경부하기운영자 조회수 895 (육지) 2025년 2월 출력제어율 : 0.0203% * 상기 출력제어율은 전월 계량기 현장자료 취득량 등을 바탕으로 추정한 잠정값입니다.,data/raw/kpx_notice_archives/https%3A%2F%2Fwww.kpx.or.kr%2Fboard.es%3Fmid%3Da10109050000%26bid%3D0216%26act%3Dview%26list_no%3D75549%26tag%3D%26nPage%3D8.html,141
육지 출력제어 2025년 3월 실적 안내,https://www.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=75550&tag=&nPage=8,2025-07-16,육지 출력제어 2025년 3월 실적 안내 작성일 2025/07/16 16:40 작성자 경부하기운영자 조회수 956 (육지) 2025년 3월 출력제어율 : 0.4450% * 상기 출력제어율은 전월 계량기 현장자료 취득량 등을 바탕으로 추정한 잠정값입니다.,data/raw/kpx_notice_archives/https%3A%2F%2Fwww.kpx.or.kr%2Fboard.es%3Fmid%3Da10109050000%26bid%3D0216%26act%3Dview%26list_no%3D75550%26tag%3D%26nPage%3D8.html,141
육지 출력제어 2025년 4월 실적 안내,https://www.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=75551&tag=&nPage=8,2025-07-16,육지 출력제어 2025년 4월 실적 안내 작성일 2025/07/16 16:41 작성자 경부하기운영자 조회수 946 (육지) 2025년 4월 출력제어율 : 0.5011% * 상기 출력제어율은 전월 계량기 현장자료 취득량 등을 바탕으로 추정한 잠정값입니다.,data/raw/kpx_notice_archives/https%3A%2F%2Fwww.kpx.or.kr%2Fboard.es%3Fmid%3Da10109050000%26bid%3D0216%26act%3Dview%26list_no%3D75551%26tag%3D%26nPage%3D8.html,141
육지 출력제어 2025년 5월 실적 안내,https://www.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=75552&tag=&nPage=8,2025-07-16,"육지 출력제어 2025년 5월 실적 안내 작성일 2025/07/16 16:42 작성자 경부하기운영자 조회수 1,173 (육지) 2025년 5월 출력제어율 : 0.6168% * 상기 출력제어율은 전월 계량기 현장자료 취득량 등을 바탕으로 추정한 잠정값입니다.",data/raw/kpx_notice_archives/https%3A%2F%2Fwww.kpx.or.kr%2Fboard.es%3Fmid%3Da10109050000%26bid%3D0216%26act%3Dview%26list_no%3D75552%26tag%3D%26nPage%3D8.html,143
