source_file,sheet_name,status,rows,columns,csv_path,parquet_path
2022년도_전력시장통계.xlsx,자료 이용 주의사항,processed,13,2,data/processed/market_statistics_sheets/2022년도_전력시장통계__자료_이용_주의사항.csv,data/processed/market_statistics_sheets/2022년도_전력시장통계__자료_이용_주의사항.parquet
2022년도_전력시장통계.xlsx,메타정보,skipped_empty,0,0,,
2022년도_전력시장통계.xlsx,일러두기,skipped_empty,0,0,,
2022년도_전력시장통계.xlsx,작성기준 및 주요 용어,skipped_empty,0,0,,
2022년도_전력시장통계.xlsx,PART1,skipped_empty,0,0,,
2022년도_전력시장통계.xlsx,1-1~5,processed,53,10,data/processed/market_statistics_sheets/2022년도_전력시장통계__1_1_5.csv,data/processed/market_statistics_sheets/2022년도_전력시장통계__1_1_5.parquet
2022년도_전력시장통계.xlsx,1-6~9,processed,50,10,data/processed/market_statistics_sheets/2022년도_전력시장통계__1_6_9.csv,data/processed/market_statistics_sheets/2022년도_전력시장통계__1_6_9.parquet
2022년도_전력시장통계.xlsx,PART2,skipped_empty,0,0,,
2022년도_전력시장통계.xlsx,2-1,processed,41,12,data/processed/market_statistics_sheets/2022년도_전력시장통계__2_1.csv,data/processed/market_statistics_sheets/2022년도_전력시장통계__2_1.parquet
2022년도_전력시장통계.xlsx,2-2,processed,122,21,data/processed/market_statistics_sheets/2022년도_전력시장통계__2_2.csv,data/processed/market_statistics_sheets/2022년도_전력시장통계__2_2.parquet
2022년도_전력시장통계.xlsx,2-3,processed,161,28,data/processed/market_statistics_sheets/2022년도_전력시장통계__2_3.csv,data/processed/market_statistics_sheets/2022년도_전력시장통계__2_3.parquet
2022년도_전력시장통계.xlsx,2-4,processed,162,28,data/processed/market_statistics_sheets/2022년도_전력시장통계__2_4.csv,data/processed/market_statistics_sheets/2022년도_전력시장통계__2_4.parquet
2022년도_전력시장통계.xlsx,2-5,processed,120,21,data/processed/market_statistics_sheets/2022년도_전력시장통계__2_5.csv,data/processed/market_statistics_sheets/2022년도_전력시장통계__2_5.parquet
2022년도_전력시장통계.xlsx,2-6,processed,133,18,data/processed/market_statistics_sheets/2022년도_전력시장통계__2_6.csv,data/processed/market_statistics_sheets/2022년도_전력시장통계__2_6.parquet
2022년도_전력시장통계.xlsx,2-7,processed,41,14,data/processed/market_statistics_sheets/2022년도_전력시장통계__2_7.csv,data/processed/market_statistics_sheets/2022년도_전력시장통계__2_7.parquet
2022년도_전력시장통계.xlsx,2-8,processed,40,9,data/processed/market_statistics_sheets/2022년도_전력시장통계__2_8.csv,data/processed/market_statistics_sheets/2022년도_전력시장통계__2_8.parquet
