col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028
4. 전력거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payment in Power Market,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-1. 지역별 전력거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payment in Power Market by Region,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,경기,강원,경남,경북,전남,전북,충남,충북,제주,서울,인천,구분,대전,광주,대구,세종,울산,부산,RPS의무이행비용정산금,배출권거래비용정산금,예측제도정산금,전국,[단위 : 억원],,,,
,Gyeonggi,Gangwon,Gyeongnam,Gyeongbuk,Jeonnam,Jeonbuk,Chungnam,Chungbuk,Jeju,Seoul,Incheon,,Daejeon,Gwangju,Daegu,Sejong,Ulsan,Busan,Renewable Portfolio Standard Payment,Emission Trading Settlement Payment,Power Demand Forecasting Payment,Total,[Unit : 100 Million Won],,,,
2001,8913,1916,15523,15518,11351,639,18553,2,750,545,8676,2001,-,-,-,-,5485,7246,,,,95117,,,,,
2002,10550,2059,21349,19969,17723,711,28703,4,1070,660,12497,2002,-,-,-,-,6735,10303,,,,132334,,,,,
2003,12160,2649,22073,21196,20404,1010,31636,102,1581,720,13576,2003,125,-,83,-,6673,11633,,,,145623,,,,,
2004,10396,2598,21882,22950,20044,727,33852,125,1697,665,16207,2004,193,-,99,-,7749,17238,,,,156422,,,,,
2005,12582,2588,22590,26603,22086,809,35513,166,2107,816,20832,2005,177,-,117,-,8002,17639,,,,172626,,,,,
2006,14869,3267,19994,27346,24400,785,34375,821,2773,1321,28418,2006,211,0,136,-,10366,20042,,,,189125,,,,,
2007,17219,4139,22036,28091,25685,753,42675,1165,3227,1777,32761,2007,241,1,135,-,10790,20877,,,,211572,,,,,
2008,22482,7997,27660,29889,28455,1580,60260,1263,4779,1787,44726,2008,311,2,169,-,11856,24783,,,,267999,,,,,
