col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009
8. 항목별 전력거래량,,,,,,,,
Electric Energy Trading Volume by Item,,,,,,,,
구분,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]"
,Day-Ahead Operation Scheduled energy,Market-registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Power Trading Volume,"[Unit : GWh, MW]"
,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),
2001,195482,47609,261722,260460,260432,198790,198788,
2002,277002,49849,362860,360288,360251,280737,280734,
2003,293172,56889,391592,388514,388459,299395,299394,
2004,311853,58910,408298,403885,403862,317902,317901,
2005,333130,61532,437543,433590,433561,338737,338737,
2006,352304,65336,452080,448348,448307,354805,354805,
2007,370178,68441,464133,459649,459338,374386,374384,
2008,387121,71207,496922,492145,491643,392325,392323,
2009,399109,73288,515923,512782,512123,405695,405692,
2010,428427,77360,522703,519224,518318,440871,440868,
2011,445849,78826,544981,541353,540289,462345,462343,
2012,452768,82524,534322,531018,530438,471796,471795,
2013,460488,87075,543252,539702,539366,479543,479541,
2014,468803,93663,588146,582747,581783,490403,490399,
2015,475570,98798,637529,629930,629701,495362,495361,
2016,486302,108231,645863,636764,636245,509235,509234,
2017,492837,113665,707554,700127,699568,520924,520917,
2018,508092,115660,697687,690861,690334,537062,537061,
2019,497797,121122,717383,710382,710041,529852,529851,
2020,479126,124566,730285,723304,722936,515984,515983,
2021,501189,126878,718408,710059,709850,537061,537061,
2022,512458,130661,740375,732159,731964,551376,551376,
2022.1,47922,126453,70400,69610,69596,51353,51353,
2,41891,125423,61324,60634,60624,45117,45117,
3,42925,125491,58118,57761,57748,46268,46268,
4,38078,125567,53148,52660,52650,41278,41278,
5,38720,126691,53567,52988,52970,42060,42060,
6,40892,128123,57769,56674,56657,43976,43976,
7,48290,128583,66770,65932,65921,50986,50986,
8,47328,128722,68876,68491,68485,50165,50165,
9,39032,129133,62172,61576,61569,42669,42669,
10,38618,130256,57664,57275,57232,42102,42102,
11,39529,130369,60297,59166,59137,43084,43084,
12,49232,130661,70269,69391,69374,52316,52316,
"1) 발전계획량 : 2022년 8월 이전은 가격결정발전계획의 발전계획량이며, 2022년 9월 이후는 하루전발전계획의 발전계획량임",,,,,,,,
