col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028,col_029,col_030,col_031
3. 신재생에너지 전력거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewable Energy Payment in Power Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,신에너지,,,,재생에너지,,,,,,,,,,,,,,,,,,,,,,"신재생에너지
합계",증감률,구분,"[단위 : 백만원, %]"
,Advanced Energy,,,,Renewable Energy,,,,,,,,,,,,,,,,,,,,,,,,,"[Unit : One Million Won, %]"
,연료전지,,IGCC,,태양에너지,,풍력에너지,,폐기물에너지,,,,,,수력에너지,,해양에너지,,바이오에너지,,,,,,,,,,,
,Fuel Cell,,IGCC,,Solar Energy,,Wind Energy,,Waste Energy,,,,,,Hydro Energy,,Marine Energy,,Bio Energy,,,,,,,,Total,Rate of Change,,
,,비율(%),,비율(%),태양광,비율(%),풍력,비율(%),부생가스,비율(%),폐가스,비율(%),폐기물,비율(%),수력,비율(%),해양에너지,비율(%),바이오가스,비율(%),매립가스,비율(%),바이오중유,비율(%),바이오매스,비율(%),,(%),,
,,Proportion(%),,Proportion(%),Photovoltaic,Proportion(%),Wind,Proportion(%),Off-Gas,Proportion(%),Waste Gas,Proportion(%),Waste,Proportion(%),Hydro,Proportion(%),Marine,Proportion(%),Biogas,Proportion(%),LFG,Proportion(%),Bio Heavy Oil,Proportion(%),Biomass,Proportion(%),,,,
2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50429,100,-,-,-,-,-,-,-,-,-,-,50429,,2001,
2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63029,100,-,-,-,-,-,-,-,-,-,-,63029,25,2002,
2003,-,-,-,-,-,-,216,0.1,25737,15.1,-,-,71,0,140021,82.1,-,-,-,-,4410,2.6,-,-,-,-,170456,170.4,2003,
2004,-,-,-,-,1,0,1117,0.6,33550,17.6,-,-,233,0.1,147727,77.7,-,-,-,-,7554,4,-,-,-,-,190182,11.6,2004,
2005,-,-,-,-,27,0,6611,3.5,24206,12.7,-,-,435,0.2,151555,79.5,-,-,-,-,7735,4.1,-,-,6,0,190576,0.2,2005,
2006,25,0,-,-,309,0.1,17295,5.2,40896,12.3,-,-,966,0.3,260719,78.5,-,-,-,-,12128,3.6,-,-,1,0,332337,74.4,2006,
