col_001,col_002,col_003,col_004,col_005,col_006,col_007
6. 전력거래 정확도 및 결제시간 준수도,,,,,,
Electric Power Trading Accuracy and Settlement Deadline Compliancy,,,,,,
6-1. 측정 산식,,,,,,
1) 전력거래 정확도(점) = 정산 수정건수 ÷ 총 정산건수 (하향지표),,,,,,
 ※ 산출 시 고려사항,,,,,,
  - 총 정산건수 및 정산 수정건수는 발전기별 시간대별로 산출,,,,,,
"  - 정산 수정건수는 초기정산과 최종정산 간의 차이가 발생하거나, 최종정산 이후 수정정산이 이루어진 경우를 의미",,,,,,
2) 결제시각 준수도(점) = [ (총 입금 건수 - 입금시간 준수 건수) ÷ 총 입금 건수 + (총 결제 건수 - 결제시간 준수 건수) ÷ 총 결제 건수 ] × 0.5 (하향지표),,,,,,
 ※ 산출 시 고려사항,,,,,,
  - 입금시간 준수 건수는 입금일 15시까지 회원사에서 전력거래소 계좌로 전력거래대금을 이체한 건수를 의미함,,,,,,
  - 총 입금 건수는 입금일에 회원사에서 전력거래소 계좌로 전력거래대금을 이체한 건수를 의미함,,,,,,
  - 지급시간 준수 건수는 결제일 15시까지 전력거래소에서 회원사 계좌로 전력거래대금을 이체한 건수를 의미함,,,,,,
  - 총 지급 건수는 결제일에 전력거래소에서 회원사 계좌로 전력거래대금을 이체한 건수를 의미함,,,,,,
6-2. 과거 실적,,,,,,
1) 전력거래 정확도(점),,,,,,
구분,2017년,2018년,2019년,2020년,2021년,2022년
수정 정산건수(건),389347,753282,1142963,857588,803027,891128
총 정산건수(건),19419624,25236504,33253560,41788296,49218792,59398464
전력거래 정확도(점),0.0201,0.0298,0.0344,0.0205,0.0163,0.015
2) 결제시각 준수도(점),,,,,,
구분,2019년,2020년,2021년,2022년,,
입금시간 준수 건수(건),11,29,184,171,,
총 입금 건수(건),332,407,497,422,,
지급시간 준수 건수(건),96297,124456,139353,146825,,
총 결제 건수(건),98803,124457,139363,155507,,
결제시각 준수도(점),0.4961,0.4644,0.3149,0.3253,,
