col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021
5. 정산단가,,,,,,,,,,,,,,,,,,,,
Unit Price of Settlement,,,,,,,,,,,,,,,,,,,,
5-1. 지역별 정산단가,,,,,,,,,,,,,,,,,,,,
Unit Price of Settlement by Region,,,,,,,,,,,,,,,,,,,,
구분,경기,강원,경남,경북,전남,전북,충남,충북,제주,구분,서울,인천,대전,광주,대구,세종,울산,부산,전국,[단위 : 원/kWh]
,Gyeonggi,Gangwon,Gyeongnam,Gyeongbuk,Jeonnam,Jeonbuk,Chungnam,Chungbuk,Jeju,,Seoul,Incheon,Daejeon,Gwangju,Daegu,Sejong,Ulsan,Busan,Average,[Unit : Won/kWh]
2001,77.04,58.13,42.99,39.67,42.12,69.21,42.87,48.87,84.13,2001,88.59,78.78,,,,,81.45,39.63,47.85,
2002,75.67,50.06,44.01,39.99,40.47,69.07,44.46,47.42,80.27,2002,77.75,68.45,,,,,77.49,40.07,47.14,
2003,78.18,52.53,44.45,39.71,40.75,68.6,46.16,76.13,121.22,2003,84.3,75.22,69.88,,69.83,,85.45,42.7,48.64,
2004,81.46,55.64,44.2,39.34,41.87,80.56,46.69,77.44,118.95,2004,85.24,66.54,75.8,,74.07,,83.07,49.39,49.2,
2005,87.51,59.65,45.64,39.16,41.6,84.53,48.99,81.07,130.57,2005,94.23,69.38,86.44,,81.15,,94.32,51.11,50.96,
2006,106.43,66.61,41.45,38.74,43.85,102.15,45.05,84.34,149.4,2006,110.82,80.04,103.33,86.58,98.8,,111.93,56.85,53.3,
2007,109.04,77.64,44.03,40.39,46.58,113.55,47.8,95.01,149.39,2007,116.25,83.55,106.61,85.29,102.55,,113.34,60.39,56.51,
2008,154.69,124.95,54.91,41.1,50.92,158.49,60.72,141.11,218.73,2008,158.84,102,153.96,126.45,147.93,,159.56,68.16,68.31,
2009,135.22,111.92,60.79,38.64,49.49,120.58,67.8,120.72,179.68,2009,167.16,87.71,167.85,101.27,152.33,,133.93,58.15,66.34,
2010,142,121.65,63.24,44.39,55.69,126.35,69.8,135.13,201.16,2010,155.82,94.69,159.17,139.79,132.28,,148.72,63.52,73.09,
2011,157.82,119.83,70,43.5,56.2,132.31,75.08,135.93,253.33,2011,175.69,109.04,192.45,144.54,140.1,,160.4,63,79.55,
2012,188.16,136.51,70.89,46.85,63.55,157.57,77.4,179.32,281.66,2012,207.83,126.22,234.62,178.79,179.93,158.24,198.64,66.37,90.17,
2013,178.81,131.61,63.7,45.95,61.24,151.54,70.21,173.17,247.46,2013,201.11,121.17,222.35,174.75,174.21,138.53,185.35,75.47,87.69,
2014,166.05,122.27,65.69,63.39,76.3,152.11,72.46,158.89,237.19,2014,201.13,112.68,197.52,175.46,153.82,160.27,172.08,77.92,89.48,
2015,123.78,115.98,69.03,67.07,75.76,115.9,73.32,115.76,167.33,2015,140.51,91.56,154.03,132.02,120.74,116.22,133.7,71.75,82.67,
2016,96.88,88.55,74.26,70.57,72.99,84.77,79.51,87.49,131.61,2016,106,82.09,125.42,103.78,90.31,92.8,100.34,73.45,79.58,
2017,108.91,91.71,76.83,63.69,72.04,91.1,84.09,96.42,162.62,2017,96.15,89.8,136.83,110.61,101.01,100.68,86.79,74.18,82.98,
2018,118.63,95.66,82.57,66.63,80.19,104.57,85.81,108.79,193.79,2018,99.1,96.87,147.21,122.84,117.21,112,107.45,76.29,90.09,
2019,115.39,96.64,85.96,61.73,79.8,99.74,90.45,107.73,211.7,2019,96.11,99.18,152.48,122.48,111.66,116.24,84.27,71.62,89.44,
2020,94.49,83.85,83.99,60.65,69.52,79.66,84.95,82.33,174.61,2020,80.85,89.92,130.18,96.44,92.11,85.75,80.78,67.35,80.35,
2021,118.6,105.53,103.35,58.35,75.92,104.97,101.6,108.25,221.22,2021,104.38,111.02,146.85,120.2,113.73,107.09,86.77,72.05,95,
2022,232.34,169.4,159.98,62.48,111.41,203.2,167.75,206.64,360.18,2022,199.42,207.29,243.33,225.1,230.76,194.72,112.93,88.4,153.13,
2023,204.78,156.05,148.36,63.6,91.98,167.76,145.89,165.57,316.76,2023,170.56,188.32,222.64,192.2,212.43,174.13,101.95,87.69,137.07,
2023.1,269.5,169.09,163.49,57.08,89.51,191.66,169.66,196.42,393.16,2023.1,179.43,249.83,243.01,239.08,276.54,174.64,112.83,87.12,163.39,
2,276.42,165.31,160.77,57.27,87.27,197.48,168.24,198.58,391.27,2,260.82,245.21,254.29,246.22,263.97,273.44,119.42,87.23,165.99,
3,258.29,203.39,177.82,65.59,112.39,230.88,193.43,228.58,350.59,3,233.24,232.06,265.81,234.69,261.85,229.86,114.03,93.48,169.51,
4,191.37,168.46,150.63,47.85,80.56,168.96,147.78,165.17,293.13,4,167.93,168.74,201.67,174.97,185.69,169.12,89.26,78.07,127.78,
5,176.72,158.02,144.19,42.18,73.23,148.79,142.01,154.25,279.92,5,153.54,159.62,193.18,162.69,169.11,152.08,98.15,74.29,118.43,
6,183.73,163.19,155.14,46.43,75.41,152.15,144.15,159.58,292.79,6,162.84,174.51,217.16,179.1,182.83,161.24,103.86,75.59,125.73,
7,196.63,156.16,161.94,73.6,103.09,166.27,148.03,164.31,323.28,7,169.84,192.13,269.46,191.37,200.98,169.25,112.73,99.46,141.64,
8,188.06,159.17,153.22,72.34,101.59,164.11,153.74,160.45,324.36,8,163.95,179.62,258.38,185.25,198.14,165,100.64,95.4,139.83,
9,180.97,148.38,141.25,68.84,95.92,153.87,143.13,148.73,304.02,9,152.45,172.31,217.82,169.01,183.43,153.6,92.65,84.38,129.21,
10,177.41,129,125.56,67.86,81.99,149.68,119.87,148.72,290.05,10,146.38,163.92,154.13,155.42,176.14,149.73,85.67,79.52,118.18,
11,163.37,113.82,115.6,62.04,84.98,133.83,109.59,132.83,261.24,11,138.4,145.94,163.94,148.01,170.75,138.89,74.46,77.99,109.71,
12,172.85,121.45,126.33,96.85,114.88,146.91,115.56,141.68,269.35,12,149.87,155.49,170.31,154.16,185.99,146.63,112.35,109.55,128.48,
1) 지역 구분은 전력시장에 등록된 발전기의 소재지 기준으로 분류함,,,,,,,,,,,,,,,,,,,,
"2) 현재 기준 세종시 소재 발전기의 경우, 2012년 6월까지는 당시의 행정구역을 기준으로, 2012년 7월부터는 세종으로 분류함",,,,,,,,,,,,,,,,,,,,
5-2. 회원사별 정산단가,,,,,,,,,,,,,,,,,,,,
Unit Price of Settlement by Members,,,,,,,,,,,,,,,,,,,,
구분,A 회원사,B 회원사,C 회원사,D 회원사,E 회원사,F 회원사,기타,평균,증감률,"[단위 : 원/kWh, %]",,,,,,,,,,
,Member A,Member B,Member C,Member D,Member E,Member F,Others,Average,Rate of Change,"[Unit : Won/kWh, %]",,,,,,,,,,
,,,,,,,,,(%),,,,,,,,,,,
2001,39.84,49.03,51.13,58.12,51.57,56.37,,47.85,,,,,,,,,,,,
2002,39.7,48.52,51.42,55.23,50.3,55.79,,47.14,-1.5,,,,,,,,,,,
2003,39.94,48.16,56.5,56.92,54.35,57.04,61.76,48.64,3.2,,,,,,,,,,,
2004,39.78,46.5,55.44,55.9,58.23,58.54,69.29,49.2,1.2,,,,,,,,,,,
2005,39.4,48.79,61.1,60.63,62.96,61.15,79.31,50.96,3.6,,,,,,,,,,,
