col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018
6. 계통한계가격(SMP),,,,,,,,,,,,,,,,,
System Marginal Price(Energe Market Price),,,,,,,,,,,,,,,,,
6-1. 연간 월별 통합SMP,,,,,,,,,,,,,,,,,
Yearly Total System Marginal Price by Month,,,,,,,,,,,,,,,,,
구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,가중평균,[단위 : 원/kWh],,,
,January,February,March,April,May,June,July,August,September,October,Novermber,December,Weighed Average,[단위 : Won/kWh],,,
2001,,,,50.91,52.74,51.62,47.88,42.69,44.94,47.22,47.45,56.49,49.11,,,,
2002,58.24,52.38,50.68,46.87,48.36,39.49,40.4,36.4,41.14,46.45,53.99,54.27,47.54,,,,
2003,55.58,55.14,56.66,56.03,57.07,50.6,40.33,38.35,43.21,47.71,51.01,55.87,50.73,,,,
2004,55.02,60.35,60.39,57.27,54.17,52.58,49.99,47.15,50.26,58.89,61.03,63.78,55.97,,,,
2005,67.38,62.89,61.75,52.49,47.26,52.97,55.64,54.42,63.93,64.54,76.34,81.15,62.12,,,,
2006,81.35,82.66,85.5,83.47,81.77,71.77,65.87,74.2,74.8,70.14,87.69,89.64,79.27,,,,
2007,86.48,82.95,88.92,82.62,81.47,81.93,76.15,74.85,72.01,86.5,91.16,97.95,83.84,,,,
2008,105.98,106.7,109.96,110.64,107.8,105.93,117.79,104.58,129.56,144.03,161.29,167.56,122.65,,,,
2009,159.45,161.15,126.36,114.14,93.64,74.13,66.45,75.6,79.85,83.69,104.64,116.84,105.08,,,,
2010,122.53,120.52,120.88,115.48,115.66,114.8,114.51,119.89,116.42,112.01,105.74,131.43,117.77,,,,
2011,132.3,123.47,123.7,117.56,117.78,119.84,119.5,117.09,133.51,123.73,140.63,146.64,126.63,,,,
2012,147.88,159.93,177.53,158.24,171.35,178.16,185.14,160.94,134.01,150.39,139.04,165.46,160.83,,,,
2013,152.14,150.79,152.13,163.33,151.04,158.13,155.29,154.19,136.88,155.8,145.05,149.9,152.1,,,,
2014,143.16,153.63,163.4,151.09,144.61,136.35,142.72,128.6,131.44,132.22,133.78,144.1,142.26,,,,
2015,140.76,121.33,118.35,103.72,96.62,84.54,81.99,88.59,90.98,98.34,94.93,95.46,101.76,,,,
2016,90.77,87.62,87.31,75.38,68.78,65.31,67.06,71.73,71.55,73.48,75.04,86.93,77.06,,,,
2017,86.31,91.07,92.06,75.35,79.14,82.71,76.79,76.4,73.21,72.84,81.48,90.77,81.77,,,,
2018,92.23,90.75,101.47,90.91,87.64,89.79,87.27,91.02,92.87,102.36,105.11,109.95,95.16,,,,
2019,111.28,105.85,112.42,99.44,79.65,78.54,79.76,84.83,79.64,88.21,81.83,84.18,90.74,,,,
2020,84.54,81.91,83.35,75.38,70.91,70.92,71.25,63.01,55.94,50.39,49.8,67.14,68.87,,,,
2021,70.65,75.44,84.22,76.35,79.1,83.11,87.54,94.07,98.77,107.76,127.06,142.81,94.34,,,,
2022,154.42,197.32,192.75,202.11,140.34,129.72,151.85,197.74,233.42,251.65,242.19,267.63,196.65,,,,
2023,240.81,253.56,215.9,164.86,143.64,147.13,153.52,147.22,141.19,137.01,120.85,131.12,167.11,,,,
2023.1H,230.58,256.3,225.57,164.71,126.2,140.02,137.82,137.31,134.92,111.68,106.67,118.55,158.79,,,,
2H,217.64,240.42,198.98,149.82,120.54,126.76,123.88,119.49,112.22,109.01,93.63,110.42,144.79,,,,
3H,208.64,235.04,170.04,138.55,118.91,122.54,119.53,112.43,108.34,106.58,90.09,108.35,137.74,,,,
4H,206.7,233.73,153.73,136.35,118.59,120.49,117.12,108.92,106.97,105.95,87.44,107.58,134.78,,,,
5H,207.62,231.77,167.34,138.11,118.84,121.62,115.48,108.16,106.8,106.13,88.56,107.85,136.09,,,,
6H,211.79,236.86,196.77,149.9,119.99,121.71,118.34,111.19,110.63,108.67,94.83,110.11,142.26,,,,
7H,222.83,244.49,223.27,165.49,122.97,126.04,119.62,115.21,112.14,110.7,105.19,113.33,149.95,,,,
8H,236.81,257.1,232.46,165.32,128.83,132.74,137.31,134.09,134.77,133.61,117.17,123.16,162.75,,,,
9H,256.06,270.03,227.98,167.39,148.03,146.17,154.47,151.71,144.96,148.16,133.7,144.5,176.34,,,,
10H,257.41,267.21,230.84,170.94,146.97,153.9,162.81,158.22,147.76,152.04,144.65,154.14,180.5,,,,
11H,257.82,264.72,228.34,170.64,154.66,156.34,168.21,162.89,153.41,151.27,138.61,143.91,180.38,,,,
12H,254.34,256.66,221.71,167.75,151.96,157.52,168.68,163.6,154.29,147.44,132.36,141.93,177.42,,,,
13H,244.1,248.77,196.64,158.67,141.67,153.16,165.45,159.57,151.43,142.56,124.31,136.04,169.35,,,,
14H,246.69,248.12,203.21,163.94,149.75,159.56,169.92,161.33,154.52,146.83,129.36,139.93,173.25,,,,
15H,248.92,252.52,203.43,165.73,158.55,160.87,172.29,166.25,159.29,149.1,132.4,142.19,176.38,,,,
16H,248.96,255.24,206.73,168.32,157.73,161.26,171.4,164.81,160.02,153.43,134.95,148.66,177.98,,,,
17H,253.71,264.67,217.4,170.4,155.96,159.7,168.99,160.11,153.95,153.65,136.83,142.59,178.41,,,,
18H,256.94,265.27,228.1,174.65,157.62,156.28,169.48,159.27,153.13,156.39,136.74,141.85,179.85,,,,
19H,259.79,266.55,240.18,178.53,156.92,156.86,167.73,160.61,152.76,156.74,137.27,140.89,181.41,,,,
20H,253.01,260.93,240.58,180.5,162,158.62,167.35,158.1,153.49,155.67,131.6,136.98,179.9,,,,
21H,246.81,255.47,236.68,175.97,158.06,157.18,163.72,156.21,149.78,150.9,124.62,133.12,175.75,,,,
22H,241.94,251.47,233.53,173.21,154.3,153.76,162.84,153.46,148.02,148.59,120.15,126.34,172.5,,,,
23H,241.53,253.07,233.97,173.29,149.23,150.99,160.31,149.63,145.01,134.92,117.14,125.24,170.12,,,,
24H,241.77,253.31,235.6,172.77,144.72,147.51,146.29,146.07,141.1,121.49,114.98,125.47,166.92,,,,
"1) 계통한계가격(SMP)은 2009년까지는 육지와 제주를 구분하지 않고 산정, 2010년 이후부터 육지와 제주를 구분하여 산정하였으며, 2010년 이후 통합SMP는 육지와 제주SMP를 해당 지역의 전력수요예측량으로 가중평균한 값임",,,,,,,,,,,,,,,,,
6-2. 회원사별 SMP 결정횟수,,,,,,,,,,,,,,,,,
Number of Main Land System Marginal Price Set by Members,,,,,,,,,,,,,,,,,
구분,A 회원사,,B 회원사,,C 회원사,,D 회원사,,E 회원사,,F 회원사,,기타,,합계,"[단위 : 횟수, %]",
,Member A,,Member B,,Member C,,Member D,,Member E,,Member F,,Others,,,"[Unit : Number of Times, %]",
,,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,,
,,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,,
2001,6,0.1,928,14.1,828,12.6,1634,24.8,565,8.6,1063,16.2,1552,23.6,6576,,
2002,11,0.1,1021,11.7,927,10.6,2233,25.5,762,8.7,1732,19.8,2074,23.7,8760,,
2003,20,0.2,1055,12,1298,14.8,1779,20.3,1437,16.4,1103,12.6,2068,23.6,8760,,
2004,1,0.0,1176,13.4,927,10.6,1571,17.9,1471,16.7,1358,15.5,2280,26,8784,,
2005,-,-,669,7.6,1569,17.9,1894,21.6,2033,23.2,1076,12.3,1519,17.3,8760,,
2006,1,0.0,788,9,2214,25.3,1150,13.1,1531,17.5,916,10.5,2160,24.7,8760,,
2007,-,-,582,6.6,1803,20.6,1690,19.3,1429,16.3,858,9.8,2398,27.4,8760,,
2008,-,-,512,5.8,1095,12.5,1205,13.7,1025,11.7,1591,18.1,3356,38.2,8784,,
2009,-,-,443,5.1,821,9.4,1563,17.8,1495,17.1,2225,25.4,2213,25.3,8760,,
2010,-,-,770,8.8,1296,14.8,1830,20.9,1075,12.3,1527,17.4,2262,25.8,8760,,
2011,-,-,572,6.5,1171,13.4,1793,20.5,1207,13.8,1456,16.6,2561,29.2,8760,,
2012,-,-,525,6,1425,16.2,2025,23.1,850,9.7,1224,13.9,2735,31.1,8784,,
2013,-,-,359,4.1,1223,14,2353,26.9,699,8,1197,13.7,2929,33.4,8760,,
2014,-,-,519,5.9,1128,12.9,1900,21.7,1488,17,781,8.9,2944,33.6,8760,,
2015,-,-,1133,12.9,908,10.4,1294,14.8,2076,23.7,402,4.6,2947,33.6,8760,,
2016,-,-,754,8.6,1071,12.2,1439,16.4,1938,22.1,740,8.4,2842,32.4,8784,,
2017,-,-,1211,13.8,704,8,1077,12.3,1104,12.6,671,7.7,3993,45.6,8760,,
2018,-,-,629,7.2,563,6.4,728,8.3,1179,13.5,622,7.1,5039,57.5,8760,,
2019,-,-,959,10.9,608,6.9,557,6.4,1056,12.1,506,5.8,5074,57.9,8760,,
2020,-,-,1195,13.6,708,8.1,1324,15.1,1107,12.6,672,7.7,3778,43,8784,,
2021,-,-,786,9,610,7,856,9.8,1071,12.2,635,7.2,4802,54.8,8760,,
2022,2,0.0228310502283105,832,9.497716894977168,787,8.984018264840183,786,8.972602739726028,1365,15.582191780821919,240,2.73972602739726,4748,54.20091324200913,8760,,
2023,0,0,481,5.5,1131,12.9,493,5.6,714,8.2,204,2.3,5737,65.5,8760,,
2023.1,0,0,48,6.5,40,5.4,22,3,114,15.3,4,0.5,516,69.4,744,,
2,0,0,74,11,171,25.4,17,2.5,49,7.3,3,0.4,358,53.3,672,,
3,0,0,40,5.4,108,14.5,24,3.2,18,2.4,18,2.4,536,72,744,,
4,0,0,31,4.3,173,24,70,9.7,30,4.2,19,2.6,397,55.1,720,,
5,0,0,18,2.4,113,15.2,47,6.3,105,14.1,64,8.6,397,53.4,744,,
6,0,0,32,4.4,39,5.4,65,9,116,16.1,42,5.8,426,59.2,720,,
7,0,0,13,1.7,117,15.7,26,3.5,60,8.1,1,0.1,527,70.8,744,,
8,0,0,25,3.4,59,7.9,19,2.6,56,7.5,4,0.5,581,78.1,744,,
9,0,0,40,5.6,105,14.6,62,8.6,36,5,1,0.1,476,66.1,720,,
10,0,0,13,1.7,43,5.8,22,3,8,1.1,0,0,658,88.4,744,,
11,0,0,49,6.8,140,19.4,29,4,23,3.2,36,5,443,61.5,720,,
12,0,0,98,13.2,23,3.1,90,12.1,99,13.3,12,1.6,422,56.7,744,,
6-3. 연료원별 SMP 결정횟수,,,,,,,,,,,,,,,,,
Number of Main Land System Marginal Price Set by Fuel Type,,,,,,,,,,,,,,,,,
구분,원자력,,석탄,,LNG,,유류,,양수,,신재생,,기타,,합계,"[단위 : 횟수, %]",
,Nuclear Power,,Coal,,LNG,,Oil,,PSH,,Renewable,,Others,,,"[Unit : Number of Times, %]",
,,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,,
