col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015
9. 항목별 전력거래금액,,,,,,,,,,,,,,
Payment in Power Market by Item,,,,,,,,,,,,,,
구분,용량정산금,,제약비발전정산금,,차액정산금,,"RPS의무이행비용
정산금",,"배출권거래비용
정산금",,"지역자원시설세
정산금",,"[단위 : 억원, %]",
,Capacity Payment,,Constrained-Off Energy Payment,,Vesting Contract Payment,,Renewable Portfolio Standard Payment,,Emission Trading Settlement Payment,,Local Plant Tax Payment,,"[Unit : 100 Million Won, %]",
,,증감률(%),,증감률(%),,증감률(%),,증감률(%),,증감률(%),,증감률(%),,
,,Rate of Change(%),,Rate of Change(%),,Rate of Change(%),,Rate of Change(%),,Rate of Change(%),,Rate of Change(%),,
2001,43203,,629,,,,,,,,,,,
2002,59980,38.8,1282,104,,,,,,,,,,
2003,64771,8,1565,22,,,,,,,,,,
2004,63276,-2.3,1369,-12.5,,,,,,,,,,
2005,67736,7,1301,-4.9,,,,,,,,,,
2006,63436,-6.3,2006,54.2,,,,,,,,,,
2007,36412,-42.6,3126,55.8,,,,,,,,,,
2008,38791,6.5,3440,10,,,,,,,,,,
2009,39864,2.8,1896,-44.9,,,,,,,,,,
2010,39755,-0.3,2718,43.4,,,,,,,,,,
2011,41847,5.3,2444,-10.1,,,,,,,,,,
2012,41518,-0.8,2778,13.7,,,,,,,,,,
2013,42670,2.8,2792,0.5,,,587,,,,,,,
2014,44630,4.6,3656,31,,,4909,736.5,,,,,,
2015,47519,6.5,4469,22.2,-305,,6802,38.6,,,,,,
2016,48759,2.6,5271,18,-1962,542.4,11811,73.6,,,379,,,
2017,61498,26.1,7072,34.2,-1630,-16.9,14631,23.9,813,,534,41,,
2018,61528,0.0,6127,-13.4,-315,-80.7,20571,40.6,2624,222.8,582,9,,
,,,,,,,,           ,,,,,,
"1) 차액정산금은 전기사업법에 따른 정부승인차액계약으로 계통한계가격(SMP)와 계약가격 간의 차이를 보전하는 정산금으로, 음수일 경우 해당 금액의 절대값만큼 발전사업자가 구매사업자로부터 지급받음",,,,,,,,,,,,,,
구분,에너지정산금,,,,,,용량정산금,비상대기예비력정산금,보조서비스정산금,"RPS의무이행비용
정산금","배출권거래비용
정산금",예측제도정산금,"전력거래
정산금",[단위 : 억원]
,Energy Payment,,,,,,,,,,,,,[Unit : 100 Million Won]
,전력량정산금,제약정산금,,,,기타정산금,,,,,,,,
,,Constraint Payment,,,,,,,,,,,,
,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,
,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Renewable Portfolio Standard Payment,Emission Trading Settlement Payment,Power Demand Forecasting Payment,Total,
2019,394966,5743,7129,0,0,1306,63997,343,424,22422,3388,,499718,
2020,329453.03445182,7977.8803315899995,7650.945288299999,0,0,1935.0882481598856,65666.82544197999,1515.0211398,394.44740184,20031.1340426,1301.04177354,0,435925.41811963,
2021,417495,9955,12521,0,0,1239,65970,2425,621,34982,5518,2,550727,
2022,718374,12851,13641,14321,5597,4960,70938,675,2988,37575,3409,64,885394,
2023,613953,0,6,30346,10507,8647,74815,220,8075,29408,3880,158,780015,
2023.1,66146,0,0,5463,374,1329,8348,52,1041,2329,0,8,85090,
2,59454,0,1,4517,397,1319,6915,87,851,1237,0,10,74787,
3,63075,0,3,2825,1984,731,5270,81,756,538,0,14,75277,
4,45016,0,0,1979,606,718,2730,0,747,6092,0,13,57901,
5,42253,0,0,2150,667,623,2934,0,784,953,3880,15,54259,
6,45359,0,0,1744,790,584,5258,0,507,1193,0,16,55451,
7,57462,0,1,1631,1097,557,8742,0,581,6288,0,11,76370,
8,58116,0,1,1537,1503,571,9151,0,534,2486,0,18,73917,
9,47474,0,0,1855,1209,560,5782,0,732,1084,0,14,58709,
10,40076,0,1,2548,991,554,3945,0,681,3055,0,18,51869,
11,38350,0,0,2137,533,557,6418,0,687,1740,0,12,50434,
12,51172,0,0,1960,355,544,9323,0,175,2413,0,8,65950,
1) 실계통기반 시장 도입에 따른 정산금 항목 변경에 따라 2020년도 9월 이후 제약발전 및 제약비발전정산금은 변동비보전 및 기대이익정산금으로 대체,,,,,,,,,,,,,,
" - 단, 수력/양수의 경우 기존과 같이 제약발전/제약비발전정산금 항목으로 정산받음",,,,,,,,,,,,,,
