col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028,col_029,col_030,col_031,col_032,col_033,col_034,col_035,col_036,col_037,col_038,col_039,col_040,col_041,col_042,col_043,col_044,col_045,col_046,col_047,col_048,col_049,col_050,col_051,col_052,col_053,col_054,col_055,col_056,col_057,col_058,col_059,col_060,col_061,col_062,col_063,col_064,col_065,col_066,col_067,col_068,col_069,col_070,col_071,col_072,col_073,col_074,col_075,col_076,col_077,col_078,col_079,col_080,col_081,col_082,col_083,col_084,col_085,col_086,col_087,col_088,col_089,col_090,col_091,col_092,col_093,col_094,col_095,col_096,col_097,col_098,col_099,col_100,col_101,col_102,col_103,col_104,col_105,col_106,col_107,col_108,col_109,col_110,col_111,col_112,col_113,col_114,col_115,col_116,col_117,col_118,col_119,col_120,col_121,col_122,col_123,col_124,col_125,col_126,col_127,col_128,col_129,col_130,col_131,col_132,col_133,col_134,col_135,col_136,col_137,col_138,col_139,col_140,col_141,col_142,col_143,col_144,col_145,col_146,col_147,col_148,col_149,col_150,col_151,col_152,col_153,col_154,col_155,col_156,col_157,col_158,col_159,col_160,col_161,col_162,col_163,col_164,col_165,col_166,col_167,col_168
3. 2023년 항목별 전력거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payment in Power Market by Item in 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-2. 월간 항목별 전력거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Payment in Power Market by Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-2-1. 연료원별 월간 항목별 전력거래금액(1월),,,,,,,,,,,,,,3-2-1. 연료원별 월간 항목별 전력거래금액(2월),,,,,,,,,,,,,,3-2-1. 연료원별 월간 항목별 전력거래금액(3월),,,,,,,,,,,,,,3-2-1. 연료원별 월간 항목별 전력거래금액(4월),,,,,,,,,,,,,,3-2-1. 연료원별 월간 항목별 전력거래금액(5월),,,,,,,,,,,,,,3-2-1. 연료원별 월간 항목별 전력거래금액(6월),,,,,,,,,,,,,,3-2-1. 연료원별 월간 항목별 전력거래금액(7월),,,,,,,,,,,,,,3-2-1. 연료원별 월간 항목별 전력거래금액(8월),,,,,,,,,,,,,,3-2-1. 연료원별 월간 항목별 전력거래금액(9월),,,,,,,,,,,,,,3-2-1. 연료원별 월간 항목별 전력거래금액(10월),,,,,,,,,,,,,,3-2-1. 연료원별 월간 항목별 전력거래금액(11월),,,,,,,,,,,,,,3-2-1. 연료원별 월간 항목별 전력거래금액(12월),,,,,,,,,,,,,
Monthly Payment in Power Market by Item by Fuel Type(January),,,,,,,,,,,,,,Monthly Payment in Power Market by Item by Fuel Type(February),,,,,,,,,,,,,,Monthly Payment in Power Market by Item by Fuel Type(March),,,,,,,,,,,,,,Monthly Payment in Power Market by Item by Fuel Type(April),,,,,,,,,,,,,,Monthly Payment in Power Market by Item by Fuel Type(May),,,,,,,,,,,,,,Monthly Payment in Power Market by Item by Fuel Type(June),,,,,,,,,,,,,,Monthly Payment in Power Market by Item by Fuel Type(July),,,,,,,,,,,,,,Monthly Payment in Power Market by Item by Fuel Type(August),,,,,,,,,,,,,,Monthly Payment in Power Market by Item by Fuel Type(September),,,,,,,,,,,,,,Monthly Payment in Power Market by Item by Fuel Type(October),,,,,,,,,,,,,,Monthly Payment in Power Market by Item by Fuel Type(November),,,,,,,,,,,,,,Monthly Payment in Power Market by Item by Fuel Type(December),,,,,,,,,,,,,
구분,,에너지정산금,,,,,,용량정산금,비상대기예비력정산금,보조서비스정산금,"전력거래
정산금",정산단가,"[단위 : 억원, 원/kWh]",구분,,에너지정산금,,,,,,용량정산금,비상대기예비력정산금,보조서비스정산금,"전력거래
정산금",정산단가,"[단위 : 억원, 원/kWh]",구분,,에너지정산금,,,,,,용량정산금,비상대기예비력정산금,보조서비스정산금,"전력거래
정산금",정산단가,"[단위 : 억원, 원/kWh]",구분,,에너지정산금,,,,,,용량정산금,비상대기예비력정산금,보조서비스정산금,"전력거래
정산금",정산단가,"[단위 : 억원, 원/kWh]",구분,,에너지정산금,,,,,,용량정산금,비상대기예비력정산금,보조서비스정산금,"전력거래
정산금",정산단가,"[단위 : 억원, 원/kWh]",구분,,에너지정산금,,,,,,용량정산금,비상대기예비력정산금,보조서비스정산금,"전력거래
정산금",정산단가,"[단위 : 억원, 원/kWh]",구분,,에너지정산금,,,,,,용량정산금,비상대기예비력정산금,보조서비스정산금,"전력거래
정산금",정산단가,"[단위 : 억원, 원/kWh]",구분,,에너지정산금,,,,,,용량정산금,비상대기예비력정산금,보조서비스정산금,"전력거래
정산금",정산단가,"[단위 : 억원, 원/kWh]",구분,,에너지정산금,,,,,,용량정산금,비상대기예비력정산금,보조서비스정산금,"전력거래
정산금",정산단가,"[단위 : 억원, 원/kWh]",구분,,에너지정산금,,,,,,용량정산금,비상대기예비력정산금,보조서비스정산금,"전력거래
정산금",정산단가,"[단위 : 억원, 원/kWh]",구분,,에너지정산금,,,,,,용량정산금,비상대기예비력정산금,보조서비스정산금,"전력거래
정산금",정산단가,"[단위 : 억원, 원/kWh]",구분,,에너지정산금,,,,,,용량정산금,비상대기예비력정산금,보조서비스정산금,"전력거래
정산금",정산단가,"[단위 : 억원, 원/kWh]"
,,Energy Payment,,,,,,,,,,,"[Unit : 100 Million Won, Won/kWh]",,,Energy Payment,,,,,,,,,,,"[Unit : 100 Million Won, Won/kWh]",,,Energy Payment,,,,,,,,,,,"[Unit : 100 Million Won, Won/kWh]",,,Energy Payment,,,,,,,,,,,"[Unit : 100 Million Won, Won/kWh]",,,Energy Payment,,,,,,,,,,,"[Unit : 100 Million Won, Won/kWh]",,,Energy Payment,,,,,,,,,,,"[Unit : 100 Million Won, Won/kWh]",,,Energy Payment,,,,,,,,,,,"[Unit : 100 Million Won, Won/kWh]",,,Energy Payment,,,,,,,,,,,"[Unit : 100 Million Won, Won/kWh]",,,Energy Payment,,,,,,,,,,,"[Unit : 100 Million Won, Won/kWh]",,,Energy Payment,,,,,,,,,,,"[Unit : 100 Million Won, Won/kWh]",,,Energy Payment,,,,,,,,,,,"[Unit : 100 Million Won, Won/kWh]",,,Energy Payment,,,,,,,,,,,"[Unit : 100 Million Won, Won/kWh]"
,,전력량정산금,제약정산금,,,,기타정산금,,,,,,,,,전력량정산금,제약정산금,,,,기타정산금,,,,,,,,,전력량정산금,제약정산금,,,,기타정산금,,,,,,,,,전력량정산금,제약정산금,,,,기타정산금,,,,,,,,,전력량정산금,제약정산금,,,,기타정산금,,,,,,,,,전력량정산금,제약정산금,,,,기타정산금,,,,,,,,,전력량정산금,제약정산금,,,,기타정산금,,,,,,,,,전력량정산금,제약정산금,,,,기타정산금,,,,,,,,,전력량정산금,제약정산금,,,,기타정산금,,,,,,,,,전력량정산금,제약정산금,,,,기타정산금,,,,,,,,,전력량정산금,제약정산금,,,,기타정산금,,,,,,,,,전력량정산금,제약정산금,,,,기타정산금,,,,,,
,,,Constraint Payment,,,,,,,,,,,,,,Constraint Payment,,,,,,,,,,,,,,Constraint Payment,,,,,,,,,,,,,,Constraint Payment,,,,,,,,,,,,,,Constraint Payment,,,,,,,,,,,,,,Constraint Payment,,,,,,,,,,,,,,Constraint Payment,,,,,,,,,,,,,,Constraint Payment,,,,,,,,,,,,,,Constraint Payment,,,,,,,,,,,,,,Constraint Payment,,,,,,,,,,,,,,Constraint Payment,,,,,,,,,,,,,,Constraint Payment,,,,,,,,,,
