col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009
5. 2023년 계통운영보조서비스정산금,,,,,,,,
Ancillary Service Payment in 2023,,,,,,,,
5-1. 연간 계통운영보조서비스정산금,,,,,,,,
Yearly Ancillary Service Payment,,,,,,,,
5-1-1. 연료원별 연간 계통운영보조서비스정산금,,,,,,,,
Yearly Ancillary Service Payment by Puel Type,,,,,,,,
구분,,계통운영보조서비스정산금,,,,,,[단위 : 백만원]
,,Ancillary Service Payment,,,,,,[Unit : One Million Won]
,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,예비력용량가치정산금,보조서비스정산금,
,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,Lost Opportunity Cost of Reserve Payment,ASP Total,
원자력,Nuclear Power,0,0,0,0,0,0,
석탄,Coal,16637,2104,0,0,206249,224989,
LNG,LNG,13209,19286,747,31,510195,543468,
유류,Oil,32,9,303,24,597,965,
양수,PSH,736,739,8147,1405,16972,27998,
신재생,Renewable,487,294,61,298,8904,10044,
기타,Others,0,0,0,0,0,0,
합계,Total,31100,22432,9258,1758,742916,807464,
5-1-2. 기저/일반별 연간 계통운영보조서비스정산금,,,,,,,,
Yearly Ancillary Service Payment by Baseload and General,,,,,,,,
구분,,계통운영보조서비스정산금,,,,,,[단위 : 백만원]
,,Ancillary Service Payment,,,,,,[Unit : One Million Won]
,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,예비력용량가치정산금,보조서비스정산금,
,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,Lost Opportunity Cost of Reserve Payment,ASP Total,
기저,Baseload,16637,2104,0,0,206249,224989,
일반,General,14463,20329,9258,1758,536667,582475,
합계,Total,31100,22432,9258,1758,742916,807464,
