col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016
4. 소규모 전력중개시장 및 직접PPA 통계,,,,,,,,,,,,,,,
Statistics of Distributed Energy Resources Market and Physical Power Purchase Agreement,,,,,,,,,,,,,,,
4-1. 연간 소규모 전력중개시장 거래량,,,,,,,,,,,,,,,
구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,[단위 : MWh],
2023년,263063.89684,319467.903723,435563.667331,420273.515064,457046.850214,471425.870679,377659.455354,469825.57243,403669.728546,458850.945022,342755.113095,243664.902823,4663267.421121,,
4-1-1. 예측제도 참여 사업자,,,,,,,,,,,,,,,
구분,자원구분,2023년,,"[단위 : 개, MW]",,,,,,,,,,,
,,사업자수(개),"주요자원
설비용량(MW)",,,,,,,,,,,,
중개사업자,* 최종 작성일 : 2024. 3. 29,29,3941,,,,,,,,,,,,
개별사업자,개별자원,22,1948,,,,,,,,,,,,
4-1-2. 예측제도 정산 대상 발전량,,,,,,,,,,,,,,,
구분,,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,[단위 : MWh]
2023년,,205098,266540,346421,345943,378159,416630,290038,457798,372750,462785,323969,211559,4077690,
4-1-3. 예측제도 정산금,,,,,,,,,,,,,,,
구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,[단위 : 천원],
2023년,787024,1033818,1341383,1339997,1465376,1607383,1112269,1774700,1442851,1790851,1245287,814293,15755232,,
4-2. 연간 직접PPA 거래량,,,,,,,,,,,,,,,
구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,[단위 : MWh],
2023년,219.245445,226.6554,298.3812,314.4624,317.8935,655.908406,697.12447,851.58299,755.989847,953.759726,738.388061,1722.307012,7751.6984569999995,,
