col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027
5. 2023년 지역별 신재생에너지 전력거래 내역,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistics of Renewable Energy Trade by Region in 2023,,,,,,,,,,,,,,,,,,,,,,,,,,
5-1. 연간 지역별 신재생에너지 전력거래 내역,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Statistics of Renewable Energy Trade by Region,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,,,,경기,강원,경남,경북,전남,전북,충남,충북,제주,구분,,,,서울,인천,대전,광주,대구,세종,울산,부산,전국,"[단위 : MW, MWh, 백만원]"
,,,,Gyeonggi,Gangwon,Gyeongnam,Gyeongbuk,Jeonnam,Jeonbuk,Chungnam,Chungbuk,Jeju,,,,,Seoul,Incheon,Daejeon,Gwangju,Daegu,Sejong,Ulsan,Busan,Total,"[Unit : MW, MWh, One Million Won]"
"전력시장 참여
설비용량
(PPA제외)
(MW)","Market-Registration Generation Capacity
(MW)",연료전지,Fuel Cell,255,98,4,37,69,17,83,40,0,"전력시장 참여
설비용량
(PPA제외)
(MW)","Market-Registration Generation Capacity
(MW)",연료전지,Fuel Cell,85,227,7,21,4,5,36,42,1030,
,,IGCC,IGCC,0,0,0,0,0,0,346,0,0,,,IGCC,IGCC,0,0,0,0,0,0,0,0,346,
,,태양광,Photovoltaic,365,689,535,820,2826,863,1225,370,441,,,태양광,Photovoltaic,18,57,17,70,62,32,51,123,8563,
,,풍력,Wind,5,528,86,527,455,80,2,0,418,,,풍력,Wind,0,49,0,0,0,0,2,1,2152,
,,수력,Hydro,275,523,145,178,36,80,31,518,1,,,수력,Hydro,0,13,0,2,4,2,0,0,1808,
,,해양에너지,Marine,254,0,0,0,1,0,0,0,1,,,해양에너지,Marine,0,0,0,0,0,0,0,0,256,
,,바이오가스,Biogas,12,31,2,1,0,5,3,1,1,,,바이오가스,Biogas,7,7,0,0,5,0,0,1,76,
,,매립가스,LFG,0,0,1,0,2,0,0,1,1,,,매립가스,LFG,0,50,0,2,0,0,0,3,60,
,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,390,,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,390,
,,바이오매스,Biomass,46,338,10,0,0,469,373,0,3,,,바이오매스,Biomass,0,19,0,0,0,5,0,0,1263,
,,바이오SRF,Bio-SRF,5,0,0,0,0,0,0,0,0,,,바이오SRF,Bio-SRF,0,0,0,0,0,0,0,0,5,
,,합계,Total,1218,2207,783,1563,3389,1514,2063,930,1255,,,합계,Total,110,422,24,95,74,44,89,170,15949,
"전력거래량
(PPA제외)
(MWh)","Electric Energy Trading Volume
(MWh)",연료전지,Fuel Cell,1592473,446498,33121,114399,320087,123509,518397,338620,0,"전력거래량
(PPA제외)
(MWh)","Electric Energy Trading Volume
(MWh)",연료전지,Fuel Cell,377870,1368284,56208,173044,9778,38454,270047,312779,6093568,
,,IGCC,IGCC,0,0,0,0,0,0,767053,0,0,,,IGCC,IGCC,0,0,0,0,0,0,0,0,767053,
,,태양광,Photovoltaic,399912,762971,611550,966639,3297883,1058288,1184210,422759,495029,,,태양광,Photovoltaic,21190,60951,16528,77502,74800,36774,54406,142883,9684277,
,,풍력,Wind,3336,958805,145680,949734,641139,143610,602,0,511721,,,풍력,Wind,0,24451,0,0,0,0,0,0,3379079,
,,수력,Hydro,734997,931210,295278,297406,76707,250272,52001,987738,2770,,,수력,Hydro,0,13279,0,5028,13390,0,1037,0,3661114,
,,해양에너지,Marine,437534,0,0,0,0,0,0,0,4,,,해양에너지,Marine,0,0,0,0,0,0,0,0,437538,
,,바이오가스,Biogas,11449,151682,8315,5837,1485,47195,3842,5078,2291,,,바이오가스,Biogas,23423,13653,0,0,10117,0,0,1640,286006,
