col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019
4. 신재생에너지 정산단가,,,,,,,,,,,,,,,,,,
Unit Price of Renewable Energy,,,,,,,,,,,,,,,,,,
구분,신에너지,,재생에너지,,,,,,,,,,,,"신재생에너지
합계",증감률,구분,"[단위 : 원/kWh, %] "
,Advanced Energy,,Renewable Energy,,,,,,,,,,,,,,,"[Unit : Won/kWh, %]"
,연료전지,IGCC,태양에너지,풍력에너지,폐기물에너지,,,수력에너지,해양에너지,바이오에너지,,,,,,,,
,,,Solar Energy,Wind Energy,Waste Energy,,,Hydro Energy,Marine Energy,Bio Energy,,,,,,,,
,,,태양광,풍력,부생가스,폐가스,폐기물,수력,해양에너지,바이오가스,매립가스,바이오중유,바이오매스,바이오SRF,,,,
,Fuel Cell,IGCC,Photovoltaic,Wind,Off-Gas,Waste Gas,Waste,Hydro,Marine,Biogas,LFG,Bio Heavy Oil,Biomass,Bio-SRF,Total,Rate of Change,,
,,,,,,,,,,,,,,,,(%),,
2001,-,-,-,-,-,-,-,57.32,-,-,-,-,-,-,57.32,,2001,
2002,-,-,-,-,-,-,-,54.22,-,-,-,-,-,-,54.22,-5.4,2002,
2003,-,-,-,51.67,54.73,-,49.52,57.43,-,-,47.85,-,-,-,56.7,4.6,2003,
2004,-,-,58.54,55.65,59.64,-,53.73,62.01,-,-,54.54,-,-,-,61.19,7.9,2004,
2005,-,-,63.37,63.15,65.22,-,61.27,71.27,-,-,59.69,-,53.53,-,69.56,13.7,2005,
2006,84.73,-,82.36,79.03,84.85,-,76.75,83.97,-,-,78.58,-,84.84,-,83.57,20.1,2006,
2007,82,-,86.73,83.67,86.41,-,81.05,93.6,-,80.68,84.2,-,78.29,-,91.16,9.1,2007,
2008,146.88,-,136.88,126.73,131.95,-,122.49,134.31,-,136.84,121.28,-,125.64,-,132.22,45,2008,
2009,101.97,-,103.73,107.84,103.28,-,95.67,109.25,120.43,103.2,104.17,-,93.85,-,107.04,-19,2009,
2010,114.16,-,124.93,124.34,92.13,-,113.56,133.47,117.57,116.56,115.08,-,115.31,-,117.34,9.6,2010,
2011,124.47,-,130.68,143.08,88.56,-,123.18,135.07,134.05,125.37,124.37,-,124.33,-,113.58,-3.2,2011,
2012,157.07,-,170.56,174.59,93.53,-,156.3,177.68,154.65,158.95,157.4,-,157.66,-,136.1,19.8,2012,
2013,148.35,-,157.88,162.73,97.43,-,148.43,167.6,147.3,150.08,151.09,-,148.82,-,133.49,-1.9,2013,
2014,140.13,-,145.29,153.17,102.14,-,140.09,155.78,138.4,140.42,140.78,-,140.68,-,122.9,-7.9,2014,
2015,100.28,-,102,109.36,98.07,93.94,99.05,113.34,98.96,99.64,99.15,-,91.63,-,101.13,-17.7,2015,
2016,76.42,76.11,76.81,82.8,97.28,75.91,76.25,84.19,75.69,75.42,76.15,-,76.6,-,88.06,-12.9,2016,
2017,80.29,80.07,84.17,91.19,97.31,,80.78,93.7,79.75,80.69,80.92,-,80.1,-,90.52,2.8,2017,
2018,94.42,94.86,97.93,105.77,97.32,,93.99,106.67,93.35,94.12,95.18,-,94.29,-,98.61,8.9,2018,
2019,89,81.74,93.81,103.49,94.98,,89.53,103.85,88.67,89.38,90.95,210.63,89.3,-,99.97,1.4,2019,
2020,66.09,68.18,70.32,72.9,0,0,0,79.33,67.25,69.15,68.67,242.11,65.78,-,80.28,-19.7,2020,
2021,94.3,94.18,93.36,99.28,0,0,0,104.36,92.55,92.27,95.63,310.94,93.38,0,106.42,32.6,2021,
2022,192.66,192.18,191.17,191.45,0,0,0,206.59,184.81,180.9,183,467.35,190.77,0,205.76,93.3,2022,
2023,158.88,189.45,159.35,150.66,0,0,0,164.34,147.04,148.52,149.72,451.67,154.03,128.75,171.42,-16.7,2023,
2024,125.24,146.1,135.61,124.55,0,0,0,143.91,127.51,125.62,124.39,335.54,125.49,125.35,138.77,-19,2024,
2024.1,133.62,147.8,152.11,135.39,0,0,0,164.56,139.02,133.52,133.72,379.04,133.66,135.14,151.83,-24,2024.1,
2,115.13,128.17,121.03,114.76,0,0,0,140.75,116.91,115.64,114.76,383.35,115.51,112.76,128.61,-36.6,2,
3,132.19,148.61,130.94,131.08,0,0,0,151.72,133.5,132.3,129.86,352.33,131.83,131.96,143.01,-36.5,3,
4,123.92,146.33,125.52,127.71,0,0,0,133.16,121.58,125.82,124.31,348.73,123.74,120.17,133.42,-21.9,4,
5,124.84,0,132.95,121.92,0,0,0,135.09,120.09,125.71,124.61,331.79,124.97,120.09,132.2,-15.6,5,
6,123.9,136.24,135.44,124.59,0,0,0,138.92,118.37,124.15,121.12,328.68,124.56,125.53,135.43,-16.9,6,
7,130.2,144.91,143.66,131.91,0,0,0,147.18,124.92,130.46,129.82,332.5,130.18,129.99,144.2,-16.9,7,
8,143.77,177.56,154.51,145.83,0,0,0,163.33,139.78,143.97,143.61,305.94,143.7,143.45,158.98,-5.7,8,
9,136.42,168.59,145.87,139.08,0,0,0,154.6,132.54,137.55,135.94,303.43,136.4,134.21,150.62,-7.1,9,
10,115.19,131.72,126.96,118.41,0,0,0,133.07,0,114.24,115.19,314.93,115.2,115,129.74,-18.6,10,
11,110.49,126.47,117.8,113.98,0,0,0,129.61,0,110.41,110.65,322.43,110.53,110.08,123.51,-9.3,11,
12,114.1,141.15,130.98,112.95,0,0,0,142.22,0,114.2,114.24,344.54,113.54,114.46,129.24,-11.1,12,
