col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010
1. 회원 통계,,,,,,,,,
Statistics of Member,,,,,,,,,
1-1. 전력시장 회원 및 설비용량,,,,,,,,,
구분,,,회원수(개),,,설비용량(MW),,,"[단위 : 개, MW]"
,,,2024년,2025년,증감,2024년,2025년,증감,
판매사업자,,,1,1,0,0,0,0,
"발전
사업자",한전 자회사,,6,6,0,85383,85209,-174,
,일반 발전사,,23,26,3,29556,30087,531,
,"신재생에너지
발전사",태양광,6317,7164,847,8862,10210,1347,
,,수력,22,22,0,165,168,4,
,,풍력,87,91,4,2151,2561,410,
,,바이오,35,35,0,370,366,-4,
,,연료전지,37,42,5,568,794,227,
,,해양에너지,1,1,0,1,1,0,
,,(소계),6499,7355,856,12116,14100,1984,
,폐기물,,45,46,1,696,703,7,
,기타 발전사,,6,9,3,25,40,15,
,집단에너지사업자,,30,31,1,9013,9006,-6,
,(발전사업자 소계),,6609,7473,864,136790,139146,2356,
자가용설비설치자 ,,,38,54,16,5952,5984,32,
구역전기사업자,,,8,9,1,1027,1027,0,
직접구매자,,,0,14,14,0,0,0,
(정회원 소계),,,6656,7551,895,143769,146157,2387,
준회원,,,9,8,-1,0,0,0,
합계,,,6665,7559,894,143769,146157,2387,
1) 각 연도의 말일을 기준으로 작성함,,,,,,,,,
1-2. 수요관리사업자 및 소규모중개사업자,,,,,,,,,
구분,,2024년,2025년,증감,[단위 : 개],,,,
수요관리사업자,정회원,36,34,-2,,,,,
,준회원,55,60,5,,,,,
,총계,91,94,3,,,,,
소규모중개사업자,정회원,40,42,2,,,,,
,준회원,61,64,3,,,,,
,총계,101,106,5,,,,,
