col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012
1. 연간 전력시장 통계 개요,,,,,,,,,,,
Yearly Summary of Power Market,,,,,,,,,,,
구분,"전력시장 참여
설비용량",,전력거래량,,전력거래금액,,정산단가,,통합SMP,,"[단위 : MW, GWh, 억원, 원/kWh, %]"
,Market-Registered Generation Capacity,,Electric Energy Trading Volume,,Payment in Power Market,,Unit Price of Settlement,,Total System Marginal Price,,"[Unit : MW, GWh, 100 Million Won, Won/kWh, %]"
,(MW),증감률(%),(GWh),증감률(%),(억원),증감률(%),(원/kWh),증감률(%),(원/kWh),증감률(%),
,,Rate of Change,,Rate of Change,(100 Million Won),Rate of Change,(Won/kWh),Rate of Change,(Won/kWh),Rate of Change,
2001,47609,,198788,,95117,,47.85,,49.11,,
2002,49849,4.7,280734,41.2,132334,39.1,47.14,-1.5,47.54,-3.2,
2003,56889,14.1,299394,6.6,145623,10,48.64,3.2,50.73,6.7,
2004,58910,3.6,317901,6.2,156422,7.4,49.2,1.2,55.97,10.3,
2005,61532,4.5,338737,6.6,172626,10.4,50.96,3.6,62.12,11,
2006,65336,6.2,354805,4.7,189125,9.6,53.3,4.6,79.27,27.6,
2007,68441,4.8,374384,5.5,211572,11.9,56.51,6,83.84,5.8,
2008,71207,4,392323,4.8,267999,26.7,68.31,20.9,122.65,46.3,
2009,73288,2.9,405692,3.4,269118,0.4,66.34,-2.9,105.08,-14.3,
2010,77360,5.6,440868,8.7,322243,19.7,73.09,10.2,117.77,12.1,
2011,78826,1.9,462343,4.9,367784,14.1,79.55,8.8,126.63,7.5,
2012,82524,4.7,471795,2,425397,15.7,90.17,13.3,160.83,27,
2013,87075,5.5,479541,1.6,421099,-1,87.69,-2.7,152.1,-5.4,
2014,93663,7.6,490399,2.3,443719,5.4,89.48,2,142.26,-6.5,
2015,98798,5.5,495361,1,416320,-6.2,82.67,-7.6,101.76,-28.5,
2016,108231,9.5,509234,2.8,417076,0.2,79.58,-3.7,77.06,-24.3,
2017,113665,5,520917,2.3,447712,7.3,82.98,4.3,81.77,6.1,
2018,115660,1.8,537061,3.1,507027,13.2,90.09,8.6,95.16,16.4,
2019,121122,4.7,529851,-1.3,499718,-1.4,89.44,-0.7,90.74,-4.6,
2020,124566,2.8,515983,-2.6,435925,-12.8,80.35,-10.2,68.87,-24.1,
2021,126878,1.9,537061,4.1,550727,26.3,95,18.23,94.34,37,
2022,130661,3,551375,2.7,885383,60.8,153.13,61.2,196.65,108.4,
2023,137501,5.2,544666,-1.2,780008,-11.9,137.07,-10.5,167.11,-15,
2024,143769,4.6,550287,1,738109,-5.4,128.09,-6.6,128.39,-23.2,
2025,146157,1.7,547163,-0.6,725879,-1.7,124.4,-2.9,112.72,-12.2,
2025.1,142484,3.5,48860,-3.9,67140,-4.2,133.39,-1.5,117.13,-15.2,
2,142624,3.2,45196,2.3,63138,16.5,131.44,11.9,116.39,-2.6,
3,142684,2.9,44688,-2,54361,-6.1,120.28,-1.3,113.03,-15.9,
4,142877,2.9,40396,-0.2,57296,10.2,126.86,2.7,124.58,-1.2,
5,142956,1.8,41275,0.3,54712,4.5,126.42,4.2,125.47,-0.7,
6,143243,0.7,43231,0.3,56199,-0.3,125.68,-1.6,118.05,-6.3,
7,143962,1,52117,3.3,81593,-1.7,134.44,-4.8,120.39,-9.1,
8,144013,0.9,52399,-2.8,71227,-15.4,131.63,-13.9,117.4,-19.5,
9,144832,1.3,46666,0,61334,-7.1,123.3,-11.8,112.91,-18.7,
10,145470,1.6,41741,-2.2,49686,1.8,107.36,0.7,101.53,-13.4,
11,145567,1.3,42099,-1.4,48981,0.9,107.47,-1.1,94.81,-15.5,
12,146157,1.7,48494,-0.7,60212,-6.7,119.52,-7.5,90.44,-22.4,
"1) 계통한계가격(SMP)은 2009년까지는 육지와 제주를 구분하지 않고 산정, 2010년 이후부터 육지와 제주를 구분하여 산정하였으며, 2010년 이후 통합SMP는 육지와 제주SMP를 해당 지역의 전력수요예측량으로 가중평균한 값임",,,,,,,,,,,
