col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010
2. 2025년 항목별 전력거래량,,,,,,,,,
Electric Energy Trading Volume by Item in 2025,,,,,,,,,
2-1. 연간 항목별 전력거래량,,,,,,,,,
Yearly Electric Energy Trading Volume by Item,,,,,,,,,
2-1-1. 회원사별 연간 항목별 전력거래량,,,,,,,,,
Yearly Electric Energy Trading Volume by Item by Members,,,,,,,,,
구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]"
,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]"
,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),
A 회원사,Member A,175988,31471,177726,177468,177466,181670,181670,
B 회원사,Member B,39829,9383,49976,48874,48873,36927,36926,
C 회원사,Member C,40777,10801,73140,71854,71768,36595,36595,
D 회원사,Member D,38364,11146,66390,64369,64342,36030,36030,
E 회원사,Member E,35082,12184,90468,89545,89539,36382,36382,
F 회원사,Member F,38059,10265,64429,62930,62892,32695,32695,
기타,Others,126250,60906,287650,282803,282677,187782,186865,
합계,Total,494350,146157,809779,797843,797558,548081,547163,
2-1-2. 연료원별 연간 항목별 전력거래량,,,,,,,,,
Yearly Electric Energy Trading Volume by Item by Fuel Type,,,,,,,,,
구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]"
,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]"
,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),
원자력,Nuclear Power,175988,26050,176432,176050,176049,175549,175549,
석탄,Coal,195795,41739,263176,259213,259171,164792,164790,
LNG,LNG,117140,48388,354870,347365,347128,159228,159227,
유류,Oil,166,531,4443,4436,4436,160,160,
양수,PSH,0,4700,64,61,61,4414,4414,
신재생,Renewable,4088,19457,9129,9250,9250,40613,39697,
기타,Others,1172,5293,1665,1467,1464,3325,3325,
합계,Total,494350,146157,809779,797843,797558,548081,547163,
2-1-3. 기저·일반별 연간 항목별 전력거래량,,,,,,,,,
Yearly Electric Energy Trading Volume by Item by Baseload and General,,,,,,,,,
구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]"
,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]"
,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),
기저,Baseload,371784,66059,439609,435263,435220,332180,332178,
일반,General,122566,80099,370170,362579,362338,215901,214984,
합계,Total,494350,146157,809779,797843,797558,548081,547163,
