col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028,col_029,col_030,col_031,col_032,col_033,col_034,col_035,col_036,col_037,col_038,col_039,col_040,col_041,col_042,col_043,col_044,col_045,col_046,col_047,col_048,col_049,col_050,col_051,col_052,col_053,col_054,col_055,col_056,col_057,col_058,col_059,col_060,col_061,col_062,col_063,col_064,col_065,col_066,col_067,col_068,col_069,col_070,col_071,col_072,col_073,col_074,col_075,col_076,col_077,col_078,col_079,col_080,col_081,col_082,col_083,col_084,col_085,col_086,col_087,col_088,col_089,col_090,col_091,col_092,col_093,col_094,col_095,col_096,col_097,col_098,col_099,col_100,col_101,col_102,col_103,col_104,col_105,col_106,col_107,col_108,col_109,col_110,col_111,col_112,col_113,col_114,col_115,col_116,col_117,col_118,col_119,col_120
2. 2025년 항목별 전력거래량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Energy Trading Volume by Item in 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-2. 월간 항목별 전력거래량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Electric Energy Trading Volume by Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-2-1. 회원사별 월간 항목별 전력거래량(1월),,,,,,,,,,2-2-1. 회원사별 월간 항목별 전력거래량(2월),,,,,,,,,,2-2-1. 회원사별 월간 항목별 전력거래량(3월),,,,,,,,,,2-2-1. 회원사별 월간 항목별 전력거래량(4월),,,,,,,,,,2-2-1. 회원사별 월간 항목별 전력거래량(5월),,,,,,,,,,2-2-1. 회원사별 월간 항목별 전력거래량(6월),,,,,,,,,,2-2-1. 회원사별 월간 항목별 전력거래량(7월),,,,,,,,,,2-2-1. 회원사별 월간 항목별 전력거래량(8월),,,,,,,,,,2-2-1. 회원사별 월간 항목별 전력거래량(9월),,,,,,,,,,2-2-1. 회원사별 월간 항목별 전력거래량(10월),,,,,,,,,,2-2-1. 회원사별 월간 항목별 전력거래량(11월),,,,,,,,,,2-2-1. 회원사별 월간 항목별 전력거래량(12월),,,,,,,,,
Monthly Electric Energy Trading Volume by Item by Members(January),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Members(February),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Members(March),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Members(April),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Members(May),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Members(June),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Members(July),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Members(August),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Members(September),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Members(October),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Members(November),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Members(December),,,,,,,,,
구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]"
,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]"
,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),
A 회원사,Member A,17040,31468.26568,17130,17105,17105,17520,17520,,A 회원사,Member A,15443,31468.26568,15514,15511,15511,15880,15880,,A 회원사,Member A,16868,31468.26568,17251,17200,17200,17522,17522,,A 회원사,Member A,15222,31468.26568,15335,15336,15336,15698,15698,,A 회원사,Member A,15158,31468.26568,15333,15332,15332,15713,15713,,A 회원사,Member A,14338,31468.26568,14508,14497,14496,14853,14853,,A 회원사,Member A,14553,31468.26568,14670,14617,14617,14979,14979,,A 회원사,Member A,13445,31468.26568,13540,13487,13487,13800,13800,,A 회원사,Member A,13567,31468.26568,13741,13764,13763,14064,14064,,A 회원사,Member A,13105,31468.26568,13293,13275,13275,13632,13632,,A 회원사,Member A,12537,31468.26568,12624,12558,12558,12882,12882,,A 회원사,Member A,14710,31471.26568,14787,14787,14787,15127,15127,
