col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014
3. 2025년 항목별 전력거래금액,,,,,,,,,,,,,
Payment in Power Market by Item in 2025,,,,,,,,,,,,,
3-1. 연간 항목별 전력거래금액,,,,,,,,,,,,,
Yearly Payment in Power Market by Item,,,,,,,,,,,,,
3-1-1. 연료원별 연간 항목별 전력거래금액,,,,,,,,,,,,,
Yearly Payment in Power Market by Item by Fuel Type,,,,,,,,,,,,,
구분,,에너지정산금,,,,,,용량정산금,비상대기예비력정산금,보조서비스정산금,"전력거래
정산금",정산단가,"[단위 : 억원, 원/kWh]"
,,Energy Payment,,,,,,,,,,,"[Unit : 100 Million Won, Won/kWh]"
,,전력량정산금,제약정산금,,,,기타정산금,,,,,,
,,,Constraint Payment,,,,,,,,,,
,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,
,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,
,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),
,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),
원자력,Nuclear Power,122287,0,0,8,162,0,16225,0,0,138681,79,
유연탄,Flaming Coal,180960,0,0,296,15114,947,26020,165,2189,225690,137.96,
무연탄,Anthracite,1244,0,0,4,54,6,130,1,0,1440,119.55,
LNG,LNG,184786,0,0,16132,2783,5280,37230,0,5575,251786,158.13,
중유,Heavy Fuel Oil,113,0,0,9,0,1,24,0,0,147,141.81,
경유,Light Fuel Oil,64,0,0,137,0,32,231,0,3,467,828.05,
양수,PSH,5997,0,0,0,0,0,2432,0,298,8727,197.71,
연료전지,Fuel Cell,9225,0,0,0,0,0,0,0,0,9225,110.46,
IGCC,IGCC,1239,0,0,2,115,5,135,0,9,1503,134.32,
태양광,Photovoltaic,15258,0,0,0,1,-1,20,0,0,15278,120.29,
풍력,Wind,4753,0,0,2,4,-4,77,0,0,4832,110.97,
수력,Hydro,4454,0,0,0,0,0,307,0,51,4813,128.1,
해양에너지,Marine,0,0,0,0,0,0,0,0,0,0,99.65,
바이오가스,Biogas,290,0,0,0,0,0,0,0,0,290,112.22,
매립가스,LFG,202,0,0,0,0,0,0,0,0,202,110.88,
바이오중유,Bio Heavy Oil,1369,0,0,2899,1,0,702,0,3,4974,397.01,
바이오매스,Biomass,8516,0,0,0,0,12,0,0,0,8528,110.87,
바이오SRF,Bio-SRF,32,0,0,0,0,0,0,0,0,32,108.11,
부생가스,Off-Gas,1536,0,0,0,0,1,0,0,0,1537,117.19,
폐가스,Waste Gas,0,0,0,0,0,0,0,0,0,0,0,
폐기물,Waste,1139,0,0,0,0,1,0,0,0,1140,110.12,
기타,Others,1113,0,0,21,65,10,173,0,9,1392,142.34,
RPS의무이행비용,Renewable Portfolio Standard Payment,0,0,0,0,0,0,0,0,0,44959,0,
배출권거래비용,Emission Trading Settlement Payment,0,0,0,0,0,0,0,0,0,0,0,
예측제도정산금,Power Demand Forecasting Payment,0,0,0,0,0,0,0,0,0,235,0,
합계,Total,544579,0,0,19510,18298,6289,83706,166,8137,725879,124.4,
3-1-2. 기저·일반별 연간 항목별 전력거래금액,,,,,,,,,,,,,
Yearly Payment in Power Market by Item by Baseload and General,,,,,,,,,,,,,
구분,,에너지정산금,,,,,,용량정산금,비상대기예비력정산금,보조서비스정산금,"전력거래
정산금",정산단가,"[단위 : 억원, 원/kWh]"
,,Energy Payment,,,,,,,,,,,"[Unit : 100 Million Won, Won/kWh]"
,,전력량정산금,제약정산금,,,,기타정산금,,,,,,
,,,Constraint Payment,,,,,,,,,,
,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,
,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,
,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),
,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),
기저,Baseload,295468,0,0,308,15330,937,42375,166,2189,356773,107.4,
일반,General,249110,0,0,19203,2969,5352,41331,0,5948,323912,150.67,
RPS의무이행비용,Renewable Portfolio Standard Payment,0,0,0,0,0,0,0,0,0,44959,0,
배출권거래비용,Emission Trading Settlement Payment,0,0,0,0,0,0,0,0,0,0,0,
예측제도정산금,Power Demand Forecasting Payment,0,0,0,0,0,0,0,0,0,235,0,
합계,Total,544579,0,0,19510,18298,6289,83706,166,8137,725879,124.4,
