col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015
4. 2025년 계통한계가격,,,,,,,,,,,,,,
System Marginal Price(Energy Market Price) in 2025,,,,,,,,,,,,,,
4-1. 일별 계통한계가격,,,,,,,,,,,,,,
System Marginal Price(Energy Market Price) by Day,,,,,,,,,,,,,,
4-1-1. 일별 통합SMP,,,,,,,,,,,,,,
Total System Marginal Price by Day,,,,,,,,,,,,,,
구분,,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,[단위 : 원/kWh]
,,January,February,March,April,May,June,July,August,September,October,Novermber,December,[Unit : Won/kWh]
1일,1st,78.67,102.32,93.14,128.77,119.2,107.4,122.07,119.62,123.35,101.49,108.83,96.01,
2일,2nd,115.79,95.84,82.28,123.09,125.98,115.17,124.2,120.51,122.49,107.61,108.52,99.97,
3일,3rd,116.41,118.02,100.32,135.48,122.17,116.71,126.3,121.1,124.61,105.43,102.76,101.57,
4일,4th,89.28,129.24,113.37,133.73,117.85,117.13,126.73,123.42,123.93,77.24,104.32,96.66,
5일,5th,83.66,121.71,116.96,108.4,120.42,117.91,120.07,112.95,126.19,70.19,107.39,98.28,
6일,6th,109.44,122.99,106.75,106.58,121.29,114.3,117.43,114.66,122.37,69.08,104.68,90.87,
7일,7th,115.7,127.87,111.16,128.19,122.31,106.95,123.73,114.75,115.62,69.53,103.17,76.45,
8일,8th,122,118.5,117.04,136.01,124.75,103.69,129.24,114.58,119.6,77.68,88.48,98.87,
9일,9th,132.79,101.96,99.54,135.53,122.03,119.63,128.64,115.25,120.4,80.05,74.73,95.56,
10일,10th,134.74,121.76,115.76,131.8,122.89,122.13,126.93,110.47,116.03,107.04,101.85,93.13,
11일,11th,122.76,123.04,114.75,129.53,107.35,124.12,120.76,113.19,116.37,88.86,106.72,99.84,
12일,12th,112.14,126.59,118.97,121.66,124.3,122.47,120.79,114.24,120.5,78,104.02,91.15,
13일,13th,131.33,125.19,104.79,106.03,126.34,123.3,116.83,114.13,111.76,114.16,101.47,83.04,
14일,14th,130.36,120.85,110.53,133.56,127.95,121.75,120.43,118.23,89.74,117.46,100.26,77.44,
15일,15th,129.4,117.85,93.61,135.9,125.64,101.43,120.04,117.67,117.01,115.53,83.23,92.79,
16일,16th,130.53,102.39,92.84,137.75,132.33,116.94,120.97,113.07,120.53,118.45,77.97,95.49,
17일,17th,129.86,124.56,111.87,130.25,119.19,126.77,118.83,114.59,120.43,114.88,103.36,96.9,
18일,18th,113.07,125.31,124.76,131.13,113.19,120.95,115.85,112.39,115.72,98.83,105.81,92.56,
19일,19th,109.1,125.87,123.25,101.68,123.81,125,103.21,123.14,114.19,83.24,100.71,94.38,
20일,20th,127.33,122.72,124.84,98.29,130.49,127.21,107.14,115.32,89.84,107.77,95.16,71.48,
21일,21st,130.57,122.52,121.38,126.06,134.22,117.22,118.38,117.39,92.18,107.49,87.92,73.31,
22일,22nd,129.94,94.81,122.11,129.91,139.55,100.46,123.07,120.8,108.19,112.42,81.35,91.55,
23일,23rd,126.6,88.23,118.96,130.04,133.82,120.87,117.8,115.03,112.52,109.76,70.68,90.62,
24일,24th,127.82,115.29,112.19,129.52,128.2,121.76,115.25,118.35,109.04,107.76,89.74,94.03,
25일,25th,121.28,115.65,115.28,125.48,125.09,122.01,116.51,118.85,117.82,104.69,91.42,82.02,
