col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016
4. 2025년 계통한계가격,,,,,,,,,,,,,,,
System Marginal Price(Energy Market Price) in 2025,,,,,,,,,,,,,,,
4-2. 시간대별 계통한계가격,,,,,,,,,,,,,,,
System Marginal Price(Energy Market Price) by Hour,,,,,,,,,,,,,,,
4-2-1. 시간대별 통합SMP,,,,,,,,,,,,,,,
Total System Marginal Price by Hour,,,,,,,,,,,,,,,
구분,,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,가중평균,[단위 : 원/kWh]
,,January,February,March,April,May,June,July,August,September,October,Novermber,December,Weighted Average,[Unit : Won/kWh]
1시,1 Hour,104.94,106.28,110.76,115.41,123.87,106.63,116.47,117.89,95.57,92.19,90.82,79.93,105.15,
2시,2 Hour,94.77,95.8,96.55,100.1,109.31,101.31,104.46,104.44,78.58,79.86,79.24,75.2,93.43,
3시,3 Hour,92.84,92.36,93.8,95.24,102.32,96.53,98.61,101.52,77.51,76.13,77.04,73.05,89.89,
4시,4 Hour,90.97,86.38,92.05,95.41,97.19,93.67,93.61,95.38,77.54,75.12,76.54,72.45,87.27,
5시,5 Hour,91.53,89.22,96.07,99.78,99.8,94.48,93.12,93,77.42,75.43,76.72,72.94,88.32,
6시,6 Hour,93.87,94.88,101.96,114.79,107.4,97.02,96.23,93.17,78.58,82.25,80.1,73.42,92.68,
7시,7 Hour,99.53,103.05,107.68,121.03,114.9,102.13,106.28,103.65,84.17,89.93,90.33,74.99,99.61,
8시,8 Hour,113.8,115.86,113.52,127.04,120.94,108.86,113.11,114.99,101.72,98.65,97.05,91.94,109.64,
9시,9 Hour,127.06,127,119.66,131.91,128.34,117.24,120.43,117.17,112.44,104.92,105.64,102.72,117.8,
10시,10 Hour,141.85,139.6,126.11,134.67,131.55,125.26,122.41,120.06,128.75,111.42,103.68,104.29,124.2,
11시,11 Hour,138,142.05,126.29,142.04,135.26,132.51,125.42,122.75,130.21,114.06,104.39,100.66,126.08,
12시,12 Hour,134,131.59,117.86,136.45,133.72,128.37,127.59,121.88,129.72,110.12,98.88,97.1,122.45,
13시,13 Hour,121.2,123.38,110.46,126.83,129.82,125.59,124.55,120.78,122.93,98.06,84.67,89.46,115.34,
14시,14 Hour,122.29,120.33,114.12,131.83,134.34,134.41,130.19,123.64,124.83,108.71,98.13,89.54,119.59,
15시,15 Hour,126.46,124.13,112.67,134.81,136,135.2,132.8,125.64,126.86,106.65,98.05,92.11,121.23,
16시,16 Hour,127.2,125.36,116.01,137.85,136.42,133.22,136.4,126.34,129.05,117.65,101.58,95.27,123.63,
17시,17 Hour,128.45,126.42,115.99,130.83,132.69,127.2,131.08,124.74,126.84,111.33,102.6,98.93,121.56,
18시,18 Hour,127.45,124.29,117.99,132.14,133.99,126.1,131.2,124.86,126.51,113.9,102.98,98.69,121.74,
19시,19 Hour,127.47,124.52,123.02,130.51,134.82,125.74,129.61,126.72,130.27,115.8,105.52,101.12,123.03,
20시,20 Hour,125.81,121.85,122.24,132.55,134.51,126.26,131.6,126.95,130.54,114.44,102.79,103.4,122.98,
21시,21 Hour,121,118.88,119.37,130.21,134.2,124.76,126.5,124.03,126.81,109.62,99.34,97.42,119.55,
22시,22 Hour,115.75,113.94,116.09,127.66,131.36,120.88,122.5,120.05,121.81,105.84,96.49,87.9,115.16,
