period,region,fuel_type,utilization_rate_pct,source_file
2018-01-01,강원도,태양광,11.0,EPSIS_재생에너지이용률.xlsx
2018-01-01,경기도,태양광,10.1,EPSIS_재생에너지이용률.xlsx
2018-01-01,경상남도,태양광,13.1,EPSIS_재생에너지이용률.xlsx
2018-01-01,경상북도,태양광,12.7,EPSIS_재생에너지이용률.xlsx
2018-01-01,광주,태양광,9.9,EPSIS_재생에너지이용률.xlsx
2018-01-01,대구,태양광,13.7,EPSIS_재생에너지이용률.xlsx
2018-01-01,대전,태양광,8.3,EPSIS_재생에너지이용률.xlsx
2018-01-01,부산,태양광,12.6,EPSIS_재생에너지이용률.xlsx
2018-01-01,서울,태양광,11.7,EPSIS_재생에너지이용률.xlsx
2018-01-01,세종,태양광,9.0,EPSIS_재생에너지이용률.xlsx
2018-01-01,울산,태양광,13.3,EPSIS_재생에너지이용률.xlsx
2018-01-01,인천,태양광,11.3,EPSIS_재생에너지이용률.xlsx
2018-01-01,전라남도,태양광,10.9,EPSIS_재생에너지이용률.xlsx
2018-01-01,전라북도,태양광,9.3,EPSIS_재생에너지이용률.xlsx
2018-01-01,제주도,태양광,9.1,EPSIS_재생에너지이용률.xlsx
2018-01-01,충청남도,태양광,10.1,EPSIS_재생에너지이용률.xlsx
2018-01-01,충청북도,태양광,9.3,EPSIS_재생에너지이용률.xlsx
2018-02-01,강원도,태양광,16.0,EPSIS_재생에너지이용률.xlsx
2018-02-01,경기도,태양광,14.7,EPSIS_재생에너지이용률.xlsx
2018-02-01,경상남도,태양광,15.4,EPSIS_재생에너지이용률.xlsx
2018-02-01,경상북도,태양광,16.4,EPSIS_재생에너지이용률.xlsx
2018-02-01,광주,태양광,11.4,EPSIS_재생에너지이용률.xlsx
2018-02-01,대구,태양광,15.6,EPSIS_재생에너지이용률.xlsx
2018-02-01,대전,태양광,12.7,EPSIS_재생에너지이용률.xlsx
2018-02-01,부산,태양광,15.3,EPSIS_재생에너지이용률.xlsx
2018-02-01,서울,태양광,15.4,EPSIS_재생에너지이용률.xlsx
2018-02-01,세종,태양광,13.9,EPSIS_재생에너지이용률.xlsx
2018-02-01,울산,태양광,16.2,EPSIS_재생에너지이용률.xlsx
2018-02-01,인천,태양광,15.1,EPSIS_재생에너지이용률.xlsx
2018-02-01,전라남도,태양광,13.5,EPSIS_재생에너지이용률.xlsx
2018-02-01,전라북도,태양광,13.2,EPSIS_재생에너지이용률.xlsx
2018-02-01,제주도,태양광,12.1,EPSIS_재생에너지이용률.xlsx
2018-02-01,충청남도,태양광,15.3,EPSIS_재생에너지이용률.xlsx
2018-02-01,충청북도,태양광,14.5,EPSIS_재생에너지이용률.xlsx
2018-03-01,강원도,태양광,16.7,EPSIS_재생에너지이용률.xlsx
2018-03-01,경기도,태양광,16.0,EPSIS_재생에너지이용률.xlsx
2018-03-01,경상남도,태양광,16.3,EPSIS_재생에너지이용률.xlsx
2018-03-01,경상북도,태양광,16.8,EPSIS_재생에너지이용률.xlsx
2018-03-01,광주,태양광,16.0,EPSIS_재생에너지이용률.xlsx
2018-03-01,대구,태양광,16.6,EPSIS_재생에너지이용률.xlsx
2018-03-01,대전,태양광,14.2,EPSIS_재생에너지이용률.xlsx
2018-03-01,부산,태양광,16.0,EPSIS_재생에너지이용률.xlsx
2018-03-01,서울,태양광,15.9,EPSIS_재생에너지이용률.xlsx
2018-03-01,세종,태양광,15.5,EPSIS_재생에너지이용률.xlsx
2018-03-01,울산,태양광,16.2,EPSIS_재생에너지이용률.xlsx
2018-03-01,인천,태양광,15.8,EPSIS_재생에너지이용률.xlsx
2018-03-01,전라남도,태양광,16.5,EPSIS_재생에너지이용률.xlsx
2018-03-01,전라북도,태양광,15.8,EPSIS_재생에너지이용률.xlsx
2018-03-01,제주도,태양광,15.9,EPSIS_재생에너지이용률.xlsx
2018-03-01,충청남도,태양광,16.7,EPSIS_재생에너지이용률.xlsx
