date,hour,smp_krw_per_kwh,daily_max_smp,daily_min_smp,daily_weighted_avg_smp
2020-01-01,1,86.2,86.2,77.83,81.46
2020-01-01,2,84.03,86.2,77.83,81.46
2020-01-01,3,82.76,86.2,77.83,81.46
2020-01-01,4,82.52,86.2,77.83,81.46
2020-01-01,5,80.74,86.2,77.83,81.46
2020-01-01,6,81.9,86.2,77.83,81.46
2020-01-01,7,80.95,86.2,77.83,81.46
2020-01-01,8,80.51,86.2,77.83,81.46
2020-01-01,9,82.49,86.2,77.83,81.46
2020-01-01,10,78.4,86.2,77.83,81.46
2020-01-01,11,80.95,86.2,77.83,81.46
2020-01-01,12,78.51,86.2,77.83,81.46
2020-01-01,13,78.53,86.2,77.83,81.46
2020-01-01,14,77.83,86.2,77.83,81.46
2020-01-01,15,78.52,86.2,77.83,81.46
2020-01-01,16,80.95,86.2,77.83,81.46
2020-01-01,17,80.39,86.2,77.83,81.46
2020-01-01,18,81.95,86.2,77.83,81.46
2020-01-01,19,81.95,86.2,77.83,81.46
2020-01-01,20,82.54,86.2,77.83,81.46
2020-01-01,21,82.07,86.2,77.83,81.46
2020-01-01,22,82.13,86.2,77.83,81.46
2020-01-01,23,82.13,86.2,77.83,81.46
2020-01-01,24,83.95,86.2,77.83,81.46
2020-01-02,1,80.67,89.68,79.04,85.51
2020-01-02,2,82.6,89.68,79.04,85.51
2020-01-02,3,79.44,89.68,79.04,85.51
2020-01-02,4,79.04,89.68,79.04,85.51
2020-01-02,5,82.6,89.68,79.04,85.51
2020-01-02,6,80.15,89.68,79.04,85.51
2020-01-02,7,82.6,89.68,79.04,85.51
2020-01-02,8,86.65,89.68,79.04,85.51
2020-01-02,9,89.32,89.68,79.04,85.51
2020-01-02,10,89.68,89.68,79.04,85.51
2020-01-02,11,87.93,89.68,79.04,85.51
2020-01-02,12,87.66,89.68,79.04,85.51
2020-01-02,13,86.78,89.68,79.04,85.51
2020-01-02,14,87.44,89.68,79.04,85.51
2020-01-02,15,87.44,89.68,79.04,85.51
2020-01-02,16,87.44,89.68,79.04,85.51
2020-01-02,17,87.48,89.68,79.04,85.51
2020-01-02,18,87.48,89.68,79.04,85.51
2020-01-02,19,87.49,89.68,79.04,85.51
2020-01-02,20,87.49,89.68,79.04,85.51
2020-01-02,21,84.63,89.68,79.04,85.51
2020-01-02,22,84.1,89.68,79.04,85.51
2020-01-02,23,84.1,89.68,79.04,85.51
2020-01-02,24,84.1,89.68,79.04,85.51
2020-01-03,1,83.0,89.84,81.26,85.63
2020-01-03,2,81.71,89.84,81.26,85.63
2020-01-03,3,82.6,89.84,81.26,85.63
2020-01-03,4,81.26,89.84,81.26,85.63
2020-01-03,5,81.31,89.84,81.26,85.63
2020-01-03,6,82.6,89.84,81.26,85.63
2020-01-03,7,88.46,89.84,81.26,85.63
2020-01-03,8,88.75,89.84,81.26,85.63
2020-01-03,9,89.04,89.84,81.26,85.63
2020-01-03,10,89.84,89.84,81.26,85.63
2020-01-03,11,87.52,89.84,81.26,85.63
2020-01-03,12,87.47,89.84,81.26,85.63
2020-01-03,13,84.9,89.84,81.26,85.63
2020-01-03,14,85.06,89.84,81.26,85.63
2020-01-03,15,85.35,89.84,81.26,85.63
2020-01-03,16,86.72,89.84,81.26,85.63
2020-01-03,17,87.68,89.84,81.26,85.63
2020-01-03,18,87.76,89.84,81.26,85.63
2020-01-03,19,87.84,89.84,81.26,85.63
