period,smp_mainland,smp_jeju,smp_integrated,blmp
2020-01-01,84.26,109.48,84.54,0.0
2020-02-01,81.6,110.45,81.91,0.0
2020-03-01,83.05,110.28,83.35,0.0
2020-04-01,74.78,129.46,75.38,0.0
2020-05-01,70.45,113.38,70.91,0.0
2020-06-01,70.58,103.62,70.92,0.0
2020-07-01,70.96,97.68,71.25,0.0
2020-08-01,62.33,119.95,63.01,0.0
2020-09-01,55.43,104.13,55.94,0.0
2020-10-01,50.23,66.03,50.39,0.0
2020-11-01,49.65,65.48,49.8,0.0
2020-12-01,66.98,81.73,67.14,0.0
2021-01-01,70.47,87.75,70.65,0.0
2021-02-01,75.25,92.84,75.44,0.0
2021-03-01,83.78,124.79,84.22,0.0
2021-04-01,75.97,111.0,76.35,0.0
2021-05-01,78.93,95.39,79.1,0.0
2021-06-01,82.72,121.49,83.11,0.0
2021-07-01,87.04,133.68,87.54,0.0
2021-08-01,93.41,153.23,94.07,0.0
2021-09-01,98.21,149.31,98.77,0.0
2021-10-01,107.53,130.14,107.76,0.0
2021-11-01,126.83,149.77,127.06,0.0
2021-12-01,142.46,175.72,142.81,0.0
2022-01-01,153.82,206.86,154.42,0.0
2022-02-01,196.93,229.85,197.32,0.0
2022-03-01,192.34,229.05,192.75,0.0
2022-04-01,201.58,250.33,202.11,0.0
2022-05-01,139.06,263.73,140.34,0.0
2022-06-01,128.84,214.32,129.72,0.0
2022-07-01,150.6,261.31,151.85,0.0
2022-08-01,196.02,340.91,197.74,0.0
2022-09-01,233.37,238.44,233.42,0.0
2022-10-01,251.61,255.03,251.65,0.0
2022-11-01,242.17,243.97,242.19,0.0
2022-12-01,267.55,275.15,267.63,0.0
2023-01-01,240.73,247.55,240.81,0.0
2023-02-01,253.48,260.27,253.56,0.0
2023-03-01,215.87,218.2,215.9,0.0
2023-04-01,164.87,163.87,164.86,0.0
2023-05-01,143.64,143.07,143.64,0.0
2023-06-01,147.12,147.71,147.13,0.0
2023-07-01,153.39,164.72,153.52,0.0
2023-08-01,146.91,173.17,147.22,0.0
2023-09-01,140.93,162.47,141.19,0.0
2023-10-01,136.73,163.17,137.01,0.0
2023-11-01,120.82,123.37,120.85,0.0
2023-12-01,131.05,137.04,131.12,0.0
2024-01-01,137.91,150.67,138.06,0.0
2024-02-01,119.49,122.34,119.53,0.0
2024-03-01,134.4,140.61,134.47,0.0
2024-04-01,125.9,141.72,126.09,0.0
2024-05-01,126.35,127.09,126.36,0.0
2024-06-01,125.99,126.41,125.99,0.0
2024-07-01,132.46,135.55,132.49,0.0
2024-08-01,145.79,151.51,145.86,0.0
2024-09-01,138.78,145.1,138.85,0.0
2024-10-01,117.2,120.62,117.24,0.0
2024-11-01,112.26,108.66,112.22,0.0
2024-12-01,116.58,118.15,116.6,0.0
2025-01-01,117.11,118.9,117.13,0.0
2025-02-01,116.39,116.05,116.39,0.0
2025-03-01,113.12,105.57,113.03,0.0
2025-04-01,124.63,120.24,124.58,0.0
2025-05-01,125.5,122.32,125.47,0.0
2025-06-01,118.02,120.62,118.05,0.0
2025-07-01,120.39,121.13,120.39,0.0
2025-08-01,117.39,118.46,117.4,0.0
2025-09-01,112.9,114.06,112.91,0.0
2025-10-01,101.53,101.17,101.53,0.0
2025-11-01,94.8,95.82,94.81,0.0
2025-12-01,90.43,91.03,90.44,0.0
